Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	15

Number of cycles in input:	1

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

30.1244705	-9.5433865	-22.9495940	-0.6229312	-0.4789561	-0.6185125	-0.1303092	0.8431420	-0.5216618
30.0653463	-9.7280471	-23.2281381	-0.6262891	-0.4923643	-0.6044331	-0.1416863	0.8342964	-0.5327988
30.0050901	-9.9123414	-23.4956555	-0.6291661	-0.5060171	-0.5899972	-0.1534103	0.8249736	-0.5439520
29.9437043	-10.0962626	-23.7523490	-0.6315596	-0.5198809	-0.5752011	-0.1654636	0.8151659	-0.5550913
29.8811911	-10.2798036	-23.9984223	-0.6334673	-0.5339196	-0.5600438	-0.1778258	0.8048683	-0.5661845
29.8175529	-10.4629576	-24.2340800	-0.6348880	-0.5480939	-0.5445275	-0.1904737	0.7940791	-0.5771985
29.7527921	-10.6457177	-24.4595276	-0.6358218	-0.5623622	-0.5286580	-0.2033809	0.7828001	-0.5880988
29.6869111	-10.8280770	-24.6749709	-0.6362703	-0.5766806	-0.5124447	-0.2165186	0.7710369	-0.5988504
29.6199124	-11.0100286	-24.8806160	-0.6362369	-0.5910035	-0.4959007	-0.2298552	0.7587993	-0.6094179
29.5517986	-11.1915656	-25.0766692	-0.6357272	-0.6052839	-0.4790431	-0.2433567	0.7461015	-0.6197662
29.4825721	-11.3726814	-25.2633364	-0.6347493	-0.6194742	-0.4618930	-0.2569873	0.7329617	-0.6298609
29.4122356	-11.5533689	-25.4408236	-0.6333138	-0.6335263	-0.4444750	-0.2707094	0.7194029	-0.6396686
29.3407918	-11.7336215	-25.6093363	-0.6314342	-0.6473930	-0.4268176	-0.2844841	0.7054524	-0.6491577
29.2682433	-11.9134323	-25.7690792	-0.6291267	-0.6610276	-0.4089524	-0.2982717	0.6911415	-0.6582989
29.1945929	-12.0927946	-25.9202564	-0.6264106	-0.6743856	-0.3909142	-0.3120324	0.6765056	-0.6670652
29.1198433	-12.2717015	-26.0630712	-0.6233077	-0.6874242	-0.3727404	-0.3257261	0.6615837	-0.6754328
29.0439974	-12.4501465	-26.1977258	-0.6198429	-0.7001039	-0.3544704	-0.3393140	0.6464180	-0.6833812
28.9670579	-12.6281227	-26.3244212	-0.6160432	-0.7123882	-0.3361454	-0.3527579	0.6310531	-0.6908936
28.8890279	-12.8056235	-26.4433571	-0.6119382	-0.7242444	-0.3178075	-0.3660214	0.6155359	-0.6979569
28.8099103	-12.9826422	-26.5547320	-0.6075592	-0.7356439	-0.2994994	-0.3790703	0.5999148	-0.7045622
28.7297079	-13.1591720	-26.6587426	-0.6029393	-0.7465621	-0.2812635	-0.3918726	0.5842389	-0.7107044
28.6484239	-13.3352065	-26.7555843	-0.5981127	-0.7569793	-0.2631417	-0.4043991	0.5685575	-0.7163824
28.5660613	-13.5107388	-26.8454505	-0.5931143	-0.7668799	-0.2451747	-0.4166234	0.5529197	-0.7215987
28.4826232	-13.6857625	-26.9285330	-0.5879796	-0.7762529	-0.2274015	-0.4285222	0.5373734	-0.7263598
28.3981128	-13.8602710	-27.0050217	-0.5827440	-0.7850914	-0.2098591	-0.4400756	0.5219650	-0.7306750
28.3125332	-14.0342576	-27.0751042	-0.5774425	-0.7933930	-0.1925820	-0.4512668	0.5067389	-0.7345570
28.2258876	-14.2077158	-27.1389665	-0.5721092	-0.8011586	-0.1756019	-0.4620819	0.4917369	-0.7380211
28.1381793	-14.3806391	-27.1967922	-0.5667772	-0.8083929	-0.1589479	-0.4725105	0.4769983	-0.7410847
28.0494117	-14.5530210	-27.2487628	-0.5614784	-0.8151038	-0.1426456	-0.4825450	0.4625590	-0.7437671
27.9595880	-14.7248549	-27.2950574	-0.5562427	-0.8213018	-0.1267177	-0.4921803	0.4484521	-0.7460893
27.8687116	-14.8961345	-27.3358530	-0.5510986	-0.8269997	-0.1111840	-0.5014143	0.4347069	-0.7480733
27.7767860	-15.0668533	-27.3713241	-0.5460722	-0.8322124	-0.0960606	-0.5102468	0.4213494	-0.7497418
27.6838146	-15.2370048	-27.4016429	-0.5411878	-0.8369565	-0.0813612	-0.5186800	0.4084025	-0.7511181
27.5898010	-15.4065826	-27.4269790	-0.5364675	-0.8412495	-0.0670964	-0.5267176	0.3958855	-0.7522256
27.4947486	-15.5755804	-27.4474996	-0.5319312	-0.8451101	-0.0532739	-0.5343651	0.3838143	-0.7530873
27.3986610	-15.7439918	-27.4633694	-0.5275969	-0.8485574	-0.0398992	-0.5416292	0.3722022	-0.7537263
27.3015419	-15.9118104	-27.4747505	-0.5234800	-0.8516108	-0.0269754	-0.5485178	0.3610593	-0.7541647
27.2033949	-16.0790300	-27.4818025	-0.5195945	-0.8542899	-0.0145034	-0.5550395	0.3503930	-0.7544242
27.1042238	-16.2456442	-27.4846823	-0.5159518	-0.8566140	-0.0024824	-0.5612038	0.3402082	-0.7545255
27.0040321	-16.4116467	-27.4835443	-0.5125620	-0.8586021	0.0090903	-0.5670204	0.3305076	-0.7544883
26.9028238	-16.5770314	-27.4785403	-0.5094331	-0.8602727	0.0202186	-0.5724996	0.3212920	-0.7543313
26.8006026	-16.7417919	-27.4698193	-0.5065717	-0.8616437	0.0309078	-0.5776517	0.3125599	-0.7540722
26.6973723	-16.9059221	-27.4575278	-0.5039827	-0.8627322	0.0411643	-0.5824871	0.3043086	-0.7537274
26.5931370	-17.0694158	-27.4418097	-0.5016699	-0.8635547	0.0509951	-0.5870162	0.2965337	-0.7533125
26.4879004	-17.2322669	-27.4228062	-0.4996356	-0.8641268	0.0604083	-0.5912491	0.2892298	-0.7528417
26.3816665	-17.3944692	-27.4006559	-0.4978811	-0.8644630	0.0694123	-0.5951958	0.2823902	-0.7523282
26.2744394	-17.5560166	-27.3754947	-0.4964066	-0.8645773	0.0780161	-0.5988661	0.2760075	-0.7517841
26.1662231	-17.7169030	-27.3474561	-0.4952115	-0.8644826	0.0862289	-0.6022691	0.2700733	-0.7512205
26.0570217	-17.8771224	-27.3166707	-0.4942942	-0.8641909	0.0940602	-0.6054140	0.2645788	-0.7506476
25.9468392	-18.0366687	-27.2832669	-0.4936527	-0.8637134	0.1015195	-0.6083093	0.2595147	-0.7500746
25.8356798	-18.1955360	-27.2473702	-0.4932842	-0.8630604	0.1086165	-0.6109631	0.2548713	-0.7495096
25.7235477	-18.3537182	-27.2091038	-0.4931853	-0.8622414	0.1153607	-0.6133831	0.2506385	-0.7489603
25.6104472	-18.5112094	-27.1685883	-0.4933522	-0.8612652	0.1217616	-0.6155765	0.2468062	-0.7484332
25.4963824	-18.6680036	-27.1259418	-0.4937808	-0.8601398	0.1278285	-0.6175503	0.2433641	-0.7479342
25.3813577	-18.8240951	-27.0812798	-0.4944665	-0.8588724	0.1335706	-0.6193106	0.2403018	-0.7474687
25.2653774	-18.9794778	-27.0347158	-0.4954047	-0.8574696	0.1389968	-0.6208636	0.2376089	-0.7470411
25.1484459	-19.1341459	-26.9863603	-0.4965902	-0.8559374	0.1441157	-0.6222145	0.2352752	-0.7466556
25.0305675	-19.2880936	-26.9363221	-0.4980179	-0.8542811	0.1489358	-0.6233687	0.2332904	-0.7463157
24.9117468	-19.4413152	-26.8847070	-0.4996825	-0.8525056	0.1534652	-0.6243306	0.2316446	-0.7460242
24.7919882	-19.5938048	-26.8316190	-0.5015784	-0.8506151	0.1577117	-0.6251047	0.2303276	-0.7457837
24.6712961	-19.7455567	-26.7771595	-0.5037002	-0.8486134	0.1616829	-0.6256948	0.2293299	-0.7455962
24.5496752	-19.8965652	-26.7214279	-0.5060423	-0.8465038	0.1653858	-0.6261045	0.2286419	-0.7454636
24.4271300	-20.0468246	-26.6645213	-0.5085990	-0.8442892	0.1688275	-0.6263371	0.2282542	-0.7453871
24.3036652	-20.1963293	-26.6065346	-0.5113647	-0.8419722	0.1720145	-0.6263953	0.2281577	-0.7453677
24.1792853	-20.3450735	-26.5475606	-0.5143338	-0.8395547	0.1749531	-0.6262819	0.2283435	-0.7454061
24.0539951	-20.4930518	-26.4876900	-0.5175007	-0.8370387	0.1776493	-0.6259990	0.2288029	-0.7455028
23.9277993	-20.6402586	-26.4270116	-0.5208596	-0.8344256	0.1801088	-0.6255488	0.2295274	-0.7456580
23.8007026	-20.7866882	-26.3656119	-0.5244050	-0.8317166	0.1823370	-0.6249330	0.2305088	-0.7458716
23.6727098	-20.9323353	-26.3035756	-0.5281315	-0.8289127	0.1843391	-0.6241531	0.2317392	-0.7461433
23.5438257	-21.0771942	-26.2409856	-0.5320333	-0.8260145	0.1861198	-0.6232104	0.2332106	-0.7464728
23.4140553	-21.2212596	-26.1779225	-0.5361052	-0.8230225	0.1876840	-0.6221060	0.2349155	-0.7468593
23.2834033	-21.3645261	-26.1144653	-0.5403416	-0.8199368	0.1890359	-0.6208407	0.2368465	-0.7473022
23.1518747	-21.5069881	-26.0506912	-0.5447372	-0.8167577	0.1901796	-0.6194153	0.2389964	-0.7478004
23.0194745	-21.6486405	-25.9866755	-0.5492866	-0.8134849	0.1911192	-0.6178302	0.2413582	-0.7483529
22.8862075	-21.7894778	-25.9224917	-0.5539846	-0.8101182	0.1918583	-0.6160859	0.2439251	-0.7489584
22.7520790	-21.9294947	-25.8582116	-0.5588258	-0.8066571	0.1924005	-0.6141825	0.2466904	-0.7496158
22.6170938	-22.0686860	-25.7939055	-0.5638051	-0.8031012	0.1927492	-0.6121201	0.2496475	-0.7503234
22.4812571	-22.2070464	-25.7296416	-0.5689174	-0.7994497	0.1929074	-0.6098986	0.2527902	-0.7510797
22.3445740	-22.3445708	-25.6654869	-0.5741573	-0.7957018	0.1928783	-0.6075180	0.2561122	-0.7518832
22.2070497	-22.4812538	-25.6015066	-0.5795199	-0.7918567	0.1926646	-0.6049779	0.2596075	-0.7527321
22.0686892	-22.6170905	-25.5377644	-0.5850001	-0.7879134	0.1922691	-0.6022780	0.2632700	-0.7536246
21.9294979	-22.7520757	-25.4743223	-0.5905927	-0.7838708	0.1916945	-0.5994179	0.2670939	-0.7545588
21.7894810	-22.8862042	-25.4112410	-0.5962928	-0.7797279	0.1909432	-0.5963971	0.2710734	-0.7555327
21.6486436	-23.0194711	-25.3485795	-0.6020953	-0.7754835	0.1900175	-0.5932150	0.2752028	-0.7565443
21.5069913	-23.1518713	-25.2863957	-0.6079951	-0.7711363	0.1889199	-0.5898710	0.2794767	-0.7575915
21.3645292	-23.2833999	-25.2247456	-0.6139874	-0.7666851	0.1876524	-0.5863645	0.2838894	-0.7586722
