Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	81

Number of cycles in input:	1

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

3159.9999622	-0.0000000	-1.4040994	-0.0000140	-0.9995023	-0.0315451	-0.0004441	0.0315451	-0.9995022
3159.9404760	-19.3893924	-2.0164530	-0.0061530	-0.9994821	-0.0315868	-0.0004440	0.0315902	-0.9995008
3159.7620200	-38.7780549	-2.6295978	-0.0122917	-0.9994242	-0.0316255	-0.0004436	0.0316333	-0.9994994
3159.4646006	-58.1652573	-3.2434130	-0.0184300	-0.9993289	-0.0316549	-0.0004430	0.0316685	-0.9994983
3159.0482292	-77.5502699	-3.8576705	-0.0245676	-0.9991964	-0.0316704	-0.0004426	0.0316908	-0.9994976
3158.5129215	-96.9323627	-4.4720711	-0.0307042	-0.9990267	-0.0316695	-0.0004424	0.0316980	-0.9994974
3157.8586975	-116.3108061	-5.0862980	-0.0368397	-0.9988198	-0.0316528	-0.0004426	0.0316906	-0.9994976
3157.0855819	-135.6848705	-5.7000762	-0.0429738	-0.9985756	-0.0316241	-0.0004434	0.0316724	-0.9994982
3156.1936038	-155.0538264	-6.3132257	-0.0491062	-0.9982939	-0.0315891	-0.0004444	0.0316491	-0.9994989
3155.1827968	-174.4169446	-6.9256945	-0.0552368	-0.9979745	-0.0315551	-0.0004455	0.0316280	-0.9994996
3154.0531990	-193.7734961	-7.5375655	-0.0613653	-0.9976173	-0.0315285	-0.0004463	0.0316155	-0.9995000
3152.8048528	-213.1227522	-8.1490345	-0.0674915	-0.9972220	-0.0315142	-0.0004462	0.0316164	-0.9995000
3151.4378054	-232.4639843	-8.7603639	-0.0736151	-0.9967887	-0.0315141	-0.0004450	0.0316327	-0.9994995
3149.9521080	-251.7964643	-9.3718225	-0.0797360	-0.9963173	-0.0315270	-0.0004427	0.0316631	-0.9994985
3148.3478168	-271.1194642	-9.9836243	-0.0858539	-0.9958081	-0.0315485	-0.0004394	0.0317033	-0.9994972
3146.6249920	-290.4322567	-10.5958806	-0.0919685	-0.9952613	-0.0315726	-0.0004354	0.0317471	-0.9994958
3144.7836986	-309.7341146	-11.2085750	-0.0980797	-0.9946770	-0.0315924	-0.0004315	0.0317880	-0.9994945
3142.8240059	-329.0243111	-11.8215665	-0.1041872	-0.9940555	-0.0316023	-0.0004283	0.0318200	-0.9994935
3140.7459876	-348.3021201	-12.4346196	-0.1102907	-0.9933970	-0.0315983	-0.0004262	0.0318395	-0.9994929
3138.5497220	-367.5668157	-13.0474543	-0.1163901	-0.9927014	-0.0315798	-0.0004255	0.0318457	-0.9994927
3136.2352918	-386.8176726	-13.6598033	-0.1224851	-0.9919688	-0.0315487	-0.0004261	0.0318406	-0.9994929
3133.8027841	-406.0539661	-14.2714630	-0.1285754	-0.9911990	-0.0315096	-0.0004276	0.0318287	-0.9994932
3131.2522904	-425.2749718	-14.8823291	-0.1346609	-0.9903920	-0.0314678	-0.0004294	0.0318154	-0.9994937
3128.5839070	-444.4799662	-15.4924066	-0.1407413	-0.9895474	-0.0314291	-0.0004307	0.0318062	-0.9994940
3125.7977340	-463.6682261	-16.1017952	-0.1468164	-0.9886653	-0.0313973	-0.0004308	0.0318052	-0.9994940
3122.8938766	-482.8390292	-16.7106545	-0.1528859	-0.9877457	-0.0313745	-0.0004294	0.0318142	-0.9994937
3119.8724440	-501.9916537	-17.3191576	-0.1589497	-0.9867885	-0.0313602	-0.0004265	0.0318327	-0.9994931
3116.7335500	-521.1253785	-17.9274453	-0.1650075	-0.9857939	-0.0313516	-0.0004223	0.0318580	-0.9994923
3113.4773127	-540.2394833	-18.5355926	-0.1710590	-0.9847621	-0.0313449	-0.0004175	0.0318863	-0.9994914
3110.1038547	-559.3332483	-19.1435935	-0.1771041	-0.9836931	-0.0313358	-0.0004127	0.0319133	-0.9994906
3106.6133031	-578.4059547	-19.7513677	-0.1831425	-0.9825873	-0.0313210	-0.0004086	0.0319359	-0.9994898
3103.0057892	-597.4568845	-20.3587853	-0.1891740	-0.9814446	-0.0312988	-0.0004055	0.0319524	-0.9994893
3099.2814490	-616.4853203	-20.9657032	-0.1951984	-0.9802652	-0.0312695	-0.0004034	0.0319631	-0.9994890
3095.4404225	-635.4905459	-21.5720007	-0.2012153	-0.9790489	-0.0312352	-0.0004020	0.0319699	-0.9994888
3091.4828544	-654.4718455	-22.1776072	-0.2072247	-0.9777958	-0.0311987	-0.0004008	0.0319758	-0.9994886
3087.4088938	-673.4285047	-22.7825130	-0.2132263	-0.9765057	-0.0311633	-0.0003990	0.0319839	-0.9994883
3083.2186940	-692.3598097	-23.3867613	-0.2192198	-0.9751787	-0.0311311	-0.0003963	0.0319962	-0.9994879
3078.9124127	-711.2650477	-23.9904249	-0.2252050	-0.9738148	-0.0311029	-0.0003923	0.0320136	-0.9994874
3074.4902121	-730.1435070	-24.5935737	-0.2311818	-0.9724141	-0.0310776	-0.0003873	0.0320349	-0.9994867
3069.9522587	-748.9944768	-25.1962426	-0.2371498	-0.9709767	-0.0310528	-0.0003818	0.0320578	-0.9994859
3065.2987234	-767.8172474	-25.7984097	-0.2431089	-0.9695027	-0.0310252	-0.0003766	0.0320791	-0.9994853
3060.5297812	-786.6111101	-26.3999907	-0.2490588	-0.9679924	-0.0309918	-0.0003723	0.0320958	-0.9994847
3055.6456119	-805.3753573	-27.0008521	-0.2549992	-0.9664458	-0.0309507	-0.0003696	0.0321063	-0.9994844
3050.6463992	-824.1092826	-27.6008393	-0.2609301	-0.9648630	-0.0309017	-0.0003685	0.0321102	-0.9994843
3045.5323314	-842.8121807	-28.1998137	-0.2668511	-0.9632440	-0.0308466	-0.0003688	0.0321093	-0.9994843
3040.3036011	-861.4833473	-28.7976866	-0.2727620	-0.9615888	-0.0307887	-0.0003695	0.0321069	-0.9994844
3034.9604050	-880.1220796	-29.3944431	-0.2786626	-0.9598972	-0.0307321	-0.0003695	0.0321068	-0.9994844
3029.5029444	-898.7276758	-29.9901461	-0.2845528	-0.9581693	-0.0306805	-0.0003678	0.0321127	-0.9994842
3023.9314247	-917.2994354	-30.5849212	-0.2904321	-0.9564050	-0.0306365	-0.0003635	0.0321269	-0.9994837
3018.2460557	-935.8366592	-31.1789228	-0.2963005	-0.9546044	-0.0306005	-0.0003565	0.0321498	-0.9994830
3012.4470514	-954.3386493	-31.7722919	-0.3021578	-0.9527676	-0.0305707	-0.0003471	0.0321797	-0.9994820
3006.5346303	-972.8047091	-32.3651152	-0.3080036	-0.9508948	-0.0305433	-0.0003364	0.0322129	-0.9994810
3000.5090147	-991.2341433	-32.9573960	-0.3138378	-0.9489862	-0.0305138	-0.0003259	0.0322451	-0.9994799
2994.3704318	-1009.6262581	-33.5490463	-0.3196602	-0.9470420	-0.0304775	-0.0003169	0.0322720	-0.9994791
2988.1191124	-1027.9803611	-34.1399014	-0.3254705	-0.9450624	-0.0304313	-0.0003106	0.0322905	-0.9994785
2981.7552921	-1046.2957611	-34.7297554	-0.3312685	-0.9430475	-0.0303742	-0.0003074	0.0322997	-0.9994782
2975.2792103	-1064.5717688	-35.3184081	-0.3370540	-0.9409974	-0.0303078	-0.0003069	0.0323013	-0.9994781
2968.6911110	-1082.8076959	-35.9057129	-0.3428267	-0.9389119	-0.0302359	-0.0003078	0.0322987	-0.9994782
