Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	39

Number of cycles in input:	1

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	99.9999842	18.2215593	-0.0084710	0.0328228	0.0338983	-3.8747288	1.8233675	17.1828636	2028.4362977	0.0000000	1.0552672	1.0552672	-2.2822900
0.0019417	0.6135885	99.9981018	18.2162986	-0.0084654	0.0346591	0.0356779	-4.0941943	1.8103543	17.1247075	2023.5145107	0.0061093	0.9956442	0.9956629	-1.9705646
0.0038835	1.2271538	99.9924544	18.2109077	-0.0084497	0.0363712	0.0373398	-4.3044243	1.7990662	17.0703763	2021.4558765	0.0115064	0.9375823	0.9376529	-1.7171753
0.0058252	1.8406730	99.9830424	18.2053803	-0.0084254	0.0379632	0.0388869	-4.5058189	1.7891918	17.0197266	2021.8993058	0.0162232	0.8812259	0.8813752	-1.5077578
0.0077670	2.4541228	99.9698661	18.1997106	-0.0083937	0.0394392	0.0403225	-4.6986591	1.7804943	16.9726096	2024.5154519	0.0202950	0.8267269	0.8269759	-1.3321452
0.0097087	3.0674803	99.9529260	18.1938933	-0.0083561	0.0408039	0.0416507	-4.8831372	1.7727899	16.9288708	2029.0016136	0.0237607	0.7742363	0.7746008	-1.1829920
0.0116505	3.6807223	99.9322227	18.1879234	-0.0083137	0.0420620	0.0428757	-5.0593809	1.7659338	16.8883506	2035.0782133	0.0266626	0.7238949	0.7243857	-1.0548922
0.0135922	4.2938256	99.9077570	18.1817965	-0.0082676	0.0432185	0.0440022	-5.2274753	1.7598097	16.8508842	2042.4864509	0.0290455	0.6758243	0.6764482	-0.9437992
0.0155340	4.9067674	99.8795299	18.1755083	-0.0082188	0.0442786	0.0450349	-5.3874799	1.7543232	16.8163035	2050.9867868	0.0309558	0.6301198	0.6308797	-0.8466332
0.0174757	5.5195244	99.8475423	18.1690552	-0.0081683	0.0452476	0.0459789	-5.5394418	1.7493964	16.7844384	2060.3579469	0.0324404	0.5868439	0.5877399	-0.7610122
0.0194175	6.1320736	99.8117955	18.1624337	-0.0081168	0.0461308	0.0468394	-5.6834059	1.7449644	16.7551185	2070.3961859	0.0335456	0.5460224	0.5470519	-0.6850614
0.0213592	6.7443919	99.7722909	18.1556408	-0.0080650	0.0469336	0.0476215	-5.8194198	1.7409727	16.7281758	2080.9145874	0.0343155	0.5076423	0.5088008	-0.6172784
0.0233010	7.3564563	99.7290299	18.1486736	-0.0080136	0.0476612	0.0483302	-5.9475367	1.7373751	16.7034460	2091.7422355	0.0347911	0.4716516	0.4729331	-0.5564361
0.0252427	7.9682437	99.6820142	18.1415298	-0.0079631	0.0483187	0.0489705	-6.0678134	1.7341321	16.6807716	2102.7231502	0.0350092	0.4379624	0.4393594	-0.5015118
0.0271845	8.5797311	99.6312455	18.1342070	-0.0079140	0.0489108	0.0495470	-6.1803075	1.7312103	16.6600029	2113.7149442	0.0350018	0.4064543	0.4079586	-0.4516371
0.0291262	9.1908955	99.5767257	18.1267033	-0.0078666	0.0494422	0.0500641	-6.2850713	1.7285809	16.6410002	2124.5872221	0.0347953	0.3769817	0.3785841	-0.4060619
0.0310680	9.8017139	99.5184570	18.1190169	-0.0078213	0.0499170	0.0505260	-6.3821461	1.7262197	16.6236348	2135.2198067	0.0344110	0.3493804	0.3510709	-0.3641302
0.0330097	10.4121633	99.4564414	18.1111465	-0.0077785	0.0503390	0.0509364	-6.4715568	1.7241061	16.6077898	2145.5009208	0.0338650	0.3234765	0.3252443	-0.3252638
0.0349515	11.0222206	99.3906813	18.1030906	-0.0077383	0.0507118	0.0512988	-6.5533071	1.7222229	16.5933603	2155.3254934	0.0331690	0.2990954	0.3009289	-0.2889534
0.0368932	11.6318630	99.3211793	18.0948482	-0.0077011	0.0510383	0.0516161	-6.6273784	1.7205558	16.5802532	2164.5937679	0.0323316	0.2760701	0.2779569	-0.2547540
0.0388350	12.2410674	99.2479378	18.0864183	-0.0076671	0.0513216	0.0518911	-6.6937309	1.7190931	16.5683861	2173.2103885	0.0313587	0.2542496	0.2561762	-0.2222838
0.0407767	12.8498109	99.1709597	18.0778003	-0.0076365	0.0515639	0.0521263	-6.7523092	1.7178251	16.5576866	2181.0841078	0.0302558	0.2335055	0.2354575	-0.1912253
0.0427185	13.4580707	99.0902479	18.0689933	-0.0076095	0.0517676	0.0523239	-6.8030511	1.7167440	16.5480900	2188.1282138	0.0290290	0.2137372	0.2156995	-0.1613278
0.0446602	14.0658238	99.0058054	18.0599972	-0.0075863	0.0519348	0.0524859	-6.8459004	1.7158433	16.5395376	2194.2617045	0.0276861	0.1948758	0.1968327	-0.1324084
0.0466019	14.6730473	98.9176354	18.0508114	-0.0075670	0.0520674	0.0526144	-6.8808228	1.7151174	16.5319750	2199.4111668	0.0262384	0.1768849	0.1788203	-0.1043542
0.0485437	15.2797183	98.8257412	18.0414360	-0.0075519	0.0521673	0.0527111	-6.9078228	1.7145610	16.5253493	2203.5132307	0.0247009	0.1597599	0.1616582	-0.0771213
0.0504854	15.8858141	98.7301262	18.0318708	-0.0075410	0.0522364	0.0527779	-6.9269624	1.7141692	16.5196072	2206.5174011	0.0230935	0.1435257	0.1453717	-0.0507322
0.0524272	16.4913119	98.6307942	18.0221159	-0.0075344	0.0522767	0.0528169	-6.9383777	1.7139366	16.5146936	2208.3890026	0.0214406	0.1282312	0.1300113	-0.0252715
0.0543689	17.0961887	98.5277487	18.0121716	-0.0075321	0.0522903	0.0528300	-6.9422932	1.7138569	16.5105494	2209.1119388	0.0197711	0.1139437	0.1156463	-0.0008774
0.0563107	17.7004218	98.4209937	18.0020382	-0.0075341	0.0522793	0.0528194	-6.9390323	1.7139232	16.5071108	2208.6909583	0.0181177	0.1007414	0.1023576	0.0222673
0.0582524	18.3039886	98.3105332	17.9917161	-0.0075402	0.0522460	0.0527873	-6.9290221	1.7141272	16.5043084	2207.1531423	0.0165156	0.0887051	0.0902295	0.0439490
0.0601942	18.9068662	98.1963714	17.9812058	-0.0075502	0.0521931	0.0527364	-6.9127917	1.7144591	16.5020673	2204.5483878	0.0150010	0.0779104	0.0793414	0.0639371
0.0621359	19.5090320	98.0785126	17.9705080	-0.0075640	0.0521229	0.0526689	-6.8909653	1.7149079	16.5003075	2200.9487407	0.0136095	0.0684197	0.0697601	0.0820005
0.0640777	20.1104632	97.9569611	17.9596232	-0.0075811	0.0520383	0.0525876	-6.8642476	1.7154610	16.4989445	2196.4465378	0.0123745	0.0602753	0.0615324	0.0979242
0.0660194	20.7111374	97.8317216	17.9485523	-0.0076012	0.0519419	0.0524951	-6.8334050	1.7161048	16.4978911	2191.1514194	0.0113248	0.0534940	0.0546795	0.1115266
0.0679612	21.3110317	97.7027989	17.9372959	-0.0076238	0.0518364	0.0523940	-6.7992419	1.7168246	16.4970589	2185.1863769	0.0104835	0.0480627	0.0491927	0.1226742
0.0699029	21.9101238	97.5701976	17.9258551	-0.0076486	0.0517244	0.0522869	-6.7625753	1.7176051	16.4963603	2178.6830808	0.0098664	0.0439369	0.0450311	0.1312949
0.0718447	22.5083909	97.4339229	17.9142305	-0.0076750	0.0516085	0.0521761	-6.7242077	1.7184307	16.4957105	2171.7767905	0.0094808	0.0410404	0.0421213	0.1373881
0.0737864	23.1058106	97.2939799	17.9024231	-0.0077026	0.0514910	0.0520639	-6.6849017	1.7192861	16.4950301	2164.6011735	0.0093254	0.0392675	0.0403596	0.1410292
0.0757282	23.7023603	97.1503738	17.8904338	-0.0077308	0.0513738	0.0519522	-6.6453566	1.7201567	16.4942464	2157.2833622	0.0093899	0.0384868	0.0396157	0.1423705
0.0776699	24.2980177	97.0031100	17.8782635	-0.0077592	0.0512588	0.0518427	-6.6061894	1.7210290	16.4932959	2149.9395447	0.0096556	0.0385475	0.0397384	0.1416351
0.0796117	24.8927603	96.8521941	17.8659130	-0.0077875	0.0511474	0.0517369	-6.5679199	1.7218911	16.4921247	2142.6713464	0.0100971	0.0392854	0.0405623	0.1391066
0.0815534	25.4865657	96.6976319	17.8533834	-0.0078152	0.0510408	0.0516357	-6.5309624	1.7227331	16.4906903	2135.5631972	0.0106830	0.0405321	0.0419163	0.1351131
0.0834952	26.0794115	96.5394289	17.8406754	-0.0078422	0.0509398	0.0515399	-6.4956225	1.7235469	16.4889611	2128.6808202	0.0113790	0.0421222	0.0436321	0.1300074
0.0854369	26.6712754	96.3775914	17.8277900	-0.0078681	0.0508448	0.0514500	-6.4621006	1.7243270	16.4869168	2122.0709096	0.0121494	0.0439024	0.0455525	0.1241446
0.0873787	27.2621352	96.2121252	17.8147280	-0.0078930	0.0507560	0.0513660	-6.4304999	1.7250696	16.4845470	2115.7620073	0.0129603	0.0457387	0.0475394	0.1178580
0.0893204	27.8519686	96.0430368	17.8014903	-0.0079167	0.0506734	0.0512881	-6.4008411	1.7257730	16.4818500	2109.7665225	0.0137814	0.0475229	0.0494808	0.1114368
0.0912621	28.4407534	95.8703324	17.7880776	-0.0079391	0.0505968	0.0512159	-6.3730800	1.7264373	16.4788309	2104.0837843	0.0145891	0.0491780	0.0512964	0.1051046
0.0932039	29.0284674	95.6940185	17.7744908	-0.0079604	0.0505259	0.0511491	-6.3471296	1.7270633	16.4754994	2098.7039595	0.0153679	0.0506613	0.0529409	0.0990026
0.0951456	29.6150885	95.5141018	17.7607306	-0.0079806	0.0504602	0.0510874	-6.3228836	1.7276528	16.4718671	2093.6126202	0.0161124	0.0519654	0.0544060	0.0931785
0.0970874	30.2005946	95.3305890	17.7467979	-0.0079996	0.0503994	0.0510303	-6.3002413	1.7282073	16.4679452	2088.7956968	0.0168275	0.0531175	0.0557193	0.0875798
0.0990291	30.7849636	95.1434871	17.7326934	-0.0080176	0.0503433	0.0509778	-6.2791317	1.7287277	16.4637415	2084.2445249	0.0175295	0.0541765	0.0569418	0.0820557
0.1009709	31.3681737	94.9528031	17.7184178	-0.0080344	0.0502918	0.0509295	-6.2595363	1.7292139	16.4592583	2079.9606721	0.0182448	0.0552278	0.0581634	0.0763638
0.1029126	31.9502027	94.7585442	17.7039720	-0.0080501	0.0502448	0.0508856	-6.2415074	1.7296639	16.4544903	2075.9602369	0.0190090	0.0563773	0.0594957	0.0701847
0.1048544	32.5310288	94.5607176	17.6893565	-0.0080644	0.0502027	0.0508463	-6.2251836	1.7300734	16.4494231	2072.2773375	0.0198650	0.0577433	0.0610647	0.0631416
