Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

-29.9438663	10.0962803	23.7516895	0.6315579	0.5198473	0.5752333	-0.1654273	0.8151867	-0.5550716
-29.8809397	10.2796268	23.9968510	0.6335868	0.5333131	0.5604864	-0.1773310	0.8052693	-0.5657694
-29.8172085	10.4631430	24.2328926	0.6350771	0.5472805	0.5451249	-0.1898073	0.7946364	-0.5766508
-29.7524580	10.6454710	24.4598144	0.6361496	0.5611116	0.5295918	-0.2023747	0.7836988	-0.5872484
-29.6868492	10.8291570	24.6727884	0.6363436	0.5763926	0.5126777	-0.2162391	0.7712402	-0.5986895
-29.6198992	11.0102965	24.8803977	0.6369876	0.5885138	0.4978939	-0.2277632	0.7607294	-0.6077950
-29.5515544	11.1902477	25.0778144	0.6362888	0.6035507	0.4804821	-0.2419119	0.7475167	-0.6186253
-29.4823513	11.3732547	25.2618195	0.6348909	0.6190605	0.4622527	-0.2566041	0.7333032	-0.6296196
-29.4121289	11.5535454	25.4399237	0.6332033	0.6338108	0.4442268	-0.2709464	0.7191490	-0.6398537
-29.3411018	11.7338361	25.6089080	0.6311568	0.6480710	0.4261985	-0.2850804	0.7048275	-0.6495748
-29.2683044	11.9144664	25.7714549	0.6290168	0.6613365	0.4086220	-0.2985781	0.6908408	-0.6584756
-29.1944878	12.0923804	25.9200538	0.6255671	0.6761981	0.3891298	-0.3137129	0.6746973	-0.6681076
-29.1198128	12.2718223	26.0622153	0.6236607	0.6867000	0.3734841	-0.3250313	0.6623323	-0.6750337
-29.0437430	12.4500758	26.1995486	0.6190084	0.7017070	0.3527547	-0.3408813	0.6446816	-0.6842409
-28.9668149	12.6286689	26.3256163	0.6145695	0.7150302	0.3332208	-0.3553566	0.6280542	-0.6922930
-28.8889211	12.8057340	26.4425642	0.6118001	0.7244743	0.3175494	-0.3662392	0.6152619	-0.6980842
-28.8100618	12.9819504	26.5562933	0.6086524	0.7339043	0.3015407	-0.3773338	0.6020540	-0.7036691
-28.7299149	13.1593551	26.6566110	0.6029373	0.7465549	0.2812869	-0.3918319	0.5842408	-0.7107253
-28.6483732	13.3343831	26.7542464	0.5978229	0.7573715	0.2626713	-0.4047962	0.5680412	-0.7165677
-28.5663488	13.5109390	26.8422256	0.5933027	0.7666182	0.2455370	-0.4162934	0.5532712	-0.7215197
-28.4825540	13.6849484	26.9318141	0.5890908	0.7748564	0.2292805	-0.4270442	0.5394058	-0.7257235
-28.3982228	13.8604857	27.0020901	0.5822623	0.7856561	0.2090816	-0.4406639	0.5211024	-0.7309361
-28.3125504	14.0348346	27.0750485	0.5789423	0.7917053	0.1950090	-0.4493446	0.5093632	-0.7339200
-28.2259124	14.2079952	27.1372776	0.5720576	0.8012127	0.1755232	-0.4621213	0.4916385	-0.7380620
-28.1384160	14.3799674	27.2011162	0.5662000	0.8089746	0.1580429	-0.4732573	0.4760392	-0.7412248
-28.0490421	14.5534675	27.2499339	0.5628676	0.8137719	0.1447598	-0.4809513	0.4648945	-0.7433431
-27.9596145	14.7245909	27.2966057	0.5575207	0.8201327	0.1286587	-0.4907519	0.4505977	-0.7457374
-27.8688457	14.8969027	27.3363036	0.5521612	0.8260788	0.1127467	-0.5002536	0.4364439	-0.7478389
-27.7766822	15.0670075	27.3733193	0.5438437	0.8340420	0.0927785	-0.5126512	0.4177226	-0.7501311
-27.6840359	15.2371123	27.4038974	0.5439402	0.8347720	0.0853508	-0.5158197	0.4128598	-0.7506510
-27.5899947	15.4060287	27.4275015	0.5350910	0.8422783	0.0651534	-0.5281153	0.3937065	-0.7523891
-27.4950416	15.5754545	27.4478870	0.5328950	0.8444152	0.0546425	-0.5334030	0.3853470	-0.7529867
-27.3982646	15.7447104	27.4618349	0.5254710	0.8500102	0.0369178	-0.5436845	0.3688457	-0.7538965
-27.3014338	15.9115897	27.4773922	0.5225472	0.8522230	0.0256962	-0.5494387	0.3596325	-0.7541760
-27.2035839	16.0788085	27.4816838	0.5171842	0.8558003	0.0112444	-0.5572801	0.3466932	-0.7544818
-27.1040172	16.2460273	27.4865119	0.5157584	0.8567312	0.0022064	-0.5614088	0.3399154	-0.7545049
-27.0043433	16.4122275	27.4806109	0.5124296	0.8586791	-0.0092796	-0.5671054	0.3302746	-0.7545265
-26.9027917	16.5770696	27.4800744	0.5061646	0.8620884	-0.0245145	-0.5754094	0.3163984	-0.7541857
-26.8007573	16.7424210	27.4682724	0.5068866	0.8614725	-0.0305148	-0.5773600	0.3130042	-0.7541113
-26.6973282	16.9048863	27.4612984	0.5050233	0.8621885	-0.0397805	-0.5816202	0.3059043	-0.7537510
-26.5930407	17.0705772	27.4393036	0.5031899	0.8627808	-0.0490836	-0.5856960	0.2987237	-0.7534748
-26.4881631	17.2323635	27.4216005	0.4986847	0.8645905	-0.0616192	-0.5920352	0.2878292	-0.7527607
-26.3818371	17.3943196	27.3974599	0.4989732	0.8639430	-0.0680308	-0.5942435	0.2839526	-0.7524930
