Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	81

Number of cycles in input:	1

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	999.9998423	46.8176026	-0.0004443	0.0315608	0.0315639	-71.0291929	1.5848741	36.8300174	82887.9033747	0.0000000	0.1210128	0.1210128	-0.0032017
0.0019417	6.1358846	999.9810175	46.8142819	-0.0004442	0.0316059	0.0316091	-71.1531090	1.5848496	36.8153198	82886.9190372	0.0007435	0.1211630	0.1211653	-0.0047092
0.0038835	12.2715381	999.9245441	46.8097712	-0.0004438	0.0316492	0.0316523	-71.3138491	1.5848179	36.8004190	82933.2804347	0.0014490	0.1180655	0.1180744	-0.0054365
0.0058252	18.4067297	999.8304241	46.8040694	-0.0004433	0.0316844	0.0316875	-71.4792514	1.5847855	36.7872354	83009.6614922	0.0020624	0.1120248	0.1120438	-0.0049027
0.0077670	24.5412282	999.6986610	46.7971752	-0.0004428	0.0317067	0.0317098	-71.6062430	1.5847607	36.7772871	83082.0671373	0.0025532	0.1040070	0.1040383	-0.0029578
0.0097087	30.6748028	999.5292598	46.7890880	-0.0004426	0.0317139	0.0317170	-71.6533087	1.5847515	36.7713367	83110.5166011	0.0029295	0.0954553	0.0955002	0.0001066
0.0116505	36.8072225	999.3222269	46.7798080	-0.0004429	0.0317065	0.0317096	-71.5952633	1.5847628	36.7691908	83063.8137333	0.0032407	0.0879864	0.0880461	0.0035683
0.0135922	42.9382564	999.0775701	46.7693357	-0.0004436	0.0316883	0.0316914	-71.4355183	1.5847941	36.7697038	82933.6741045	0.0035686	0.0830340	0.0831107	0.0064179
0.0155340	49.0676737	998.7952986	46.7576722	-0.0004447	0.0316650	0.0316681	-71.2110012	1.5848382	36.7709943	82742.8826848	0.0040050	0.0815240	0.0816224	0.0076119
0.0174757	55.1952437	998.4754231	46.7448188	-0.0004458	0.0316438	0.0316469	-70.9871234	1.5848825	36.7708300	82543.8861642	0.0046246	0.0836579	0.0837856	0.0063769
0.0194175	61.3207356	998.1179554	46.7307767	-0.0004465	0.0316313	0.0316344	-70.8438214	1.5849109	36.7670981	82407.7259296	0.0054590	0.0888569	0.0890244	0.0024825
0.0213592	67.4439188	997.7229093	46.7155469	-0.0004464	0.0316322	0.0316354	-70.8567036	1.5849084	36.7582571	82406.5860257	0.0064816	0.0958843	0.0961031	-0.0036097
0.0233010	73.5645627	997.2902994	46.6991300	-0.0004453	0.0316485	0.0316517	-71.0782241	1.5848644	36.7436659	82594.7529948	0.0076063	0.1031163	0.1033965	-0.0107842
0.0252427	79.6824370	996.8201420	46.6815260	-0.0004429	0.0316789	0.0316820	-71.5228627	1.5847770	36.7237169	82992.3559347	0.0087053	0.1089031	0.1092505	-0.0175071
0.0271845	85.7973113	996.3124550	46.6627344	-0.0004396	0.0317192	0.0317222	-72.1589703	1.5846537	36.6997414	83575.1503490	0.0096391	0.1119328	0.1123471	-0.0222041
0.0291262	91.9089554	995.7672574	46.6427544	-0.0004357	0.0317632	0.0317661	-72.9093874	1.5845111	36.6737085	84273.0111289	0.0102930	0.1115175	0.1119915	-0.0236750
0.0310680	98.0171392	995.1845697	46.6215850	-0.0004318	0.0318041	0.0318070	-73.6628205	1.5843709	36.6477877	84979.5652932	0.0106108	0.1077329	0.1082542	-0.0214269
0.0330097	104.1216326	994.5644138	46.5992257	-0.0004285	0.0318361	0.0318390	-74.2966848	1.5842551	36.6238745	85574.0316718	0.0106138	0.1013824	0.1019365	-0.0158378
0.0349515	110.2222060	993.9068132	46.5756760	-0.0004264	0.0318557	0.0318585	-74.7082669	1.5841809	36.6031872	85952.3816517	0.0104018	0.0937959	0.0943709	-0.0081054
0.0368932	116.3186295	993.2117926	46.5509361	-0.0004257	0.0318619	0.0318647	-74.8455335	1.5841564	36.5860257	86059.1751279	0.0101319	0.0865136	0.0871049	0.0000055
0.0388350	122.4106737	992.4793780	46.5250066	-0.0004263	0.0318568	0.0318597	-74.7257173	1.5841778	36.5717428	85907.8447766	0.0099818	0.0809304	0.0815437	0.0065657
0.0407767	128.4981093	991.7095972	46.4978887	-0.0004278	0.0318448	0.0318477	-74.4330945	1.5842304	36.5589302	85580.1589218	0.0101049	0.0779869	0.0786389	0.0099465
0.0427185	134.5807069	990.9024791	46.4695839	-0.0004296	0.0318315	0.0318344	-74.0964613	1.5842914	36.5457699	85204.6870190	0.0105904	0.0779762	0.0786921	0.0092367
0.0446602	140.6582376	990.0580541	46.4400938	-0.0004309	0.0318223	0.0318252	-73.8555110	1.5843355	36.5304630	84923.1547889	0.0114383	0.0805110	0.0813195	0.0045011
0.0466019	146.7304727	989.1763539	46.4094197	-0.0004310	0.0318213	0.0318242	-73.8277746	1.5843405	36.5116350	84856.5041271	0.0125569	0.0846520	0.0855783	-0.0032056
0.0485437	152.7971834	988.2574118	46.3775629	-0.0004297	0.0318303	0.0318332	-74.0840955	1.5842937	36.4886207	85079.0534488	0.0137855	0.0891617	0.0902211	-0.0120914
0.0504854	158.8581414	987.3012624	46.3445242	-0.0004267	0.0318488	0.0318517	-74.6354477	1.5841940	36.4615667	85604.0101713	0.0149345	0.0928176	0.0940114	-0.0200912
0.0524272	164.9131185	986.3079417	46.3103041	-0.0004226	0.0318742	0.0318770	-75.4312704	1.5840527	36.4313343	86380.8518477	0.0158350	0.0947058	0.0960205	-0.0254145
0.0543689	170.9618867	985.2774870	46.2749031	-0.0004177	0.0319025	0.0319052	-76.3696874	1.5838898	36.3992347	87305.2097910	0.0163841	0.0944238	0.0958347	-0.0270190
0.0563107	177.0042183	984.2099371	46.2383213	-0.0004130	0.0319296	0.0319322	-77.3203772	1.5837288	36.3666680	88242.2150415	0.0165719	0.0921461	0.0936244	-0.0248794
0.0582524	183.0398858	983.1053323	46.2005592	-0.0004088	0.0319522	0.0319548	-78.1583715	1.5835902	36.3347627	89061.6139409	0.0164848	0.0885399	0.0900614	-0.0199776
0.0601942	189.0686619	981.9637142	46.1616172	-0.0004057	0.0319687	0.0319713	-78.8011544	1.5834858	36.3041041	89676.7099077	0.0162813	0.0845602	0.0861133	-0.0140233
0.0621359	195.0903197	980.7851257	46.1214963	-0.0004036	0.0319794	0.0319820	-79.2359369	1.5834162	36.2746213	90073.3262335	0.0161476	0.0811793	0.0827697	-0.0089771
0.0640777	201.1046324	979.5696112	46.0801974	-0.0004022	0.0319863	0.0319888	-79.5249064	1.5833703	36.2456537	90315.8192383	0.0162440	0.0791235	0.0807737	-0.0064993
0.0660194	207.1113737	978.3172164	46.0377219	-0.0004010	0.0319922	0.0319947	-79.7852801	1.5833293	36.2161768	90526.5820653	0.0166580	0.0786861	0.0804301	-0.0074677
0.0679612	213.1103174	977.0279885	45.9940712	-0.0003992	0.0320003	0.0320027	-80.1521657	1.5832719	36.1851209	90847.2561896	0.0173762	0.0796633	0.0815363	-0.0117000
0.0699029	219.1012375	975.7019761	45.9492466	-0.0003965	0.0320126	0.0320151	-80.7375159	1.5831815	36.1516952	91395.5592258	0.0182850	0.0814268	0.0834546	-0.0179713
0.0718447	225.0839087	974.3392291	45.9032492	-0.0003925	0.0320300	0.0320324	-81.5961459	1.5830512	36.1156280	92229.3324372	0.0192002	0.0831134	0.0853023	-0.0243416
0.0737864	231.0581055	972.9397987	45.8560802	-0.0003875	0.0320514	0.0320537	-82.7049198	1.5828869	36.0772570	93324.3613632	0.0199192	0.0838758	0.0862086	-0.0287120
0.0757282	237.0236032	971.5037377	45.8077405	-0.0003820	0.0320743	0.0320765	-83.9590575	1.5827063	36.0374430	94570.2619217	0.0202816	0.0831295	0.0855678	-0.0294565
0.0776699	242.9801770	970.0311002	45.7582310	-0.0003768	0.0320956	0.0320978	-85.1902133	1.5825342	35.9973294	95789.4288685	0.0202207	0.0807256	0.0832196	-0.0259445
0.0796117	248.9276028	968.5219415	45.7075528	-0.0003725	0.0321124	0.0321146	-86.2095158	1.5823955	35.9580110	96782.4546702	0.0197918	0.0770054	0.0795082	-0.0188010
0.0815534	254.8656566	966.9763185	45.6557072	-0.0003698	0.0321228	0.0321250	-86.8697246	1.5823073	35.9202019	97393.8368895	0.0191664	0.0727184	0.0752018	-0.0098226
0.0834952	260.7941148	965.3942894	45.6026957	-0.0003687	0.0321267	0.0321289	-87.1259603	1.5822735	35.8839955	97576.2173768	0.0185927	0.0688255	0.0712926	-0.0015590
0.0854369	266.7127543	963.7759138	45.5485201	-0.0003690	0.0321259	0.0321280	-87.0667468	1.5822813	35.8487865	97423.2194504	0.0183308	0.0662389	0.0687285	0.0033461
0.0873787	272.6213522	962.1212525	45.4931826	-0.0003697	0.0321234	0.0321255	-86.8986488	1.5823035	35.8133836	97153.1717337	0.0185790	0.0655680	0.0681494	0.0028957
0.0893204	278.5196860	960.4303679	45.4366852	-0.0003697	0.0321233	0.0321255	-86.8927470	1.5823043	35.7762902	97052.4319490	0.0194119	0.0669389	0.0696967	-0.0036303
0.0912621	284.4075338	958.7033237	45.3790301	-0.0003680	0.0321292	0.0321313	-87.3180811	1.5822482	35.7360869	97404.9176084	0.0207478	0.0699385	0.0729511	-0.0153450
0.0932039	290.2846738	956.9401848	45.3202192	-0.0003637	0.0321435	0.0321455	-88.3834974	1.5821102	35.6918146	98430.5569437	0.0223573	0.0737020	0.0770184	-0.0298489
0.0951456	296.1508847	955.1410176	45.2602542	-0.0003566	0.0321664	0.0321684	-90.1938816	1.5818831	35.6432588	100239.0339904	0.0239128	0.0771233	0.0807455	-0.0437655
0.0970874	302.0059457	953.3058900	45.1991364	-0.0003473	0.0321963	0.0321982	-92.7162834	1.5815815	35.5910513	102794.1284917	0.0250703	0.0791365	0.0830127	-0.0535985
0.0990291	307.8496364	951.4348709	45.1368670	-0.0003366	0.0322297	0.0322314	-95.7550073	1.5812393	35.5365542	105887.7202274	0.0255606	0.0789972	0.0830295	-0.0566817
0.1009709	313.6817366	949.5280308	45.0734469	-0.0003260	0.0322619	0.0322636	-98.9507234	1.5809020	35.4815456	109139.3620382	0.0252684	0.0764886	0.0805543	-0.0519560
0.1029126	319.5020270	947.5854415	45.0088775	-0.0003171	0.0322888	0.0322904	-101.8345036	1.5806159	35.4277792	112053.9310596	0.0242755	0.0719967	0.0759791	-0.0403537
0.1048544	325.3102883	945.6071762	44.9431599	-0.0003108	0.0323073	0.0323088	-103.9587858	1.5804152	35.3765269	114160.2451077	0.0228539	0.0664315	0.0702527	-0.0246792
