Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

-3162.5405454	0.2037183	1.4033748	0.0000784	0.9995011	0.0315842	-0.0004415	0.0315842	-0.9995010
-3162.4587891	19.5569594	2.0245935	0.0062011	0.9994832	0.0315420	-0.0004448	0.0315453	-0.9995022
-3162.3023579	39.0120597	2.6361559	0.0123558	0.9994235	0.0316235	-0.0004430	0.0316314	-0.9994995
-3161.9869204	58.3653007	3.2348433	0.0184785	0.9993226	0.0318273	-0.0004348	0.0318408	-0.9994929
-3161.5781392	77.7185418	3.8689370	0.0246011	0.9992012	0.0314917	-0.0004485	0.0315123	-0.9995033
-3161.0438268	97.0717829	4.4804994	0.0307237	0.9990332	0.0314453	-0.0004502	0.0314740	-0.9995045
-3160.3807644	116.4250240	5.0920618	0.0368463	0.9988263	0.0314388	-0.0004508	0.0314767	-0.9995044
-3159.6243583	135.7782651	5.6907492	0.0429686	0.9985780	0.0315553	-0.0004421	0.0316034	-0.9995004
-3158.7295459	155.3352245	6.3119679	0.0491557	0.9982862	0.0317537	-0.0004328	0.0318134	-0.9994937
-3157.7671398	174.6884655	6.9267491	0.0552773	0.9979729	0.0315365	-0.0004438	0.0316093	-0.9995002
-3156.5601087	193.7361291	7.5350927	0.0613050	0.9976198	0.0315658	-0.0004432	0.0316525	-0.9994988
-3155.3820463	213.1912294	8.1595302	0.0674582	0.9972269	0.0314302	-0.0004541	0.0315326	-0.9995026
-3153.9947653	232.6463296	8.7614363	0.0736131	0.9967867	0.0315813	-0.0004383	0.0316995	-0.9994973
-3152.4690780	252.1014299	9.3729987	0.0797686	0.9963095	0.0316903	-0.0004266	0.0318257	-0.9994933
-3150.9015469	271.5565301	9.9877799	0.0859220	0.9958009	0.0315917	-0.0004322	0.0317462	-0.9994959
-3149.0958284	291.1134895	10.6089986	0.0921107	0.9952427	0.0317411	-0.0004168	0.0319151	-0.9994905
-3147.2514849	309.8555756	11.2237797	0.0980416	0.9946884	0.0313493	-0.0004586	0.0315462	-0.9995022
-3145.2655164	329.4125350	11.8256859	0.1042286	0.9940493	0.0316602	-0.0004193	0.0318775	-0.9994917
-3143.2698917	348.8676353	12.4501233	0.1103799	0.9933910	0.0314742	-0.0004387	0.0317165	-0.9994968
-3141.0167670	368.1190172	13.0552483	0.1164721	0.9926932	0.0315351	-0.0004272	0.0318013	-0.9994941
-3138.7314548	387.2685399	13.6668107	0.1225296	0.9919632	0.0315533	-0.0004229	0.0318450	-0.9994927
-3136.2852051	406.5199218	14.2848106	0.1286202	0.9911979	0.0313630	-0.0004456	0.0316835	-0.9994979
-3133.7423930	425.7713038	14.8867168	0.1347099	0.9903828	0.0315450	-0.0004150	0.0318916	-0.9994912
-3131.1352058	444.6152490	15.5014979	0.1406708	0.9895612	0.0313113	-0.0004484	0.0316894	-0.9994977
-3125.7861805	463.6459361	16.1007218	0.1468100	0.9886680	0.0313451	-0.0004384	0.0317535	-0.9994956
-3122.8909153	482.7954588	16.7096019	0.1528726	0.9877446	0.0314718	-0.0004147	0.0319103	-0.9994907
-3119.8626084	502.0977703	17.3217008	0.1589829	0.9867823	0.0313865	-0.0004220	0.0318588	-0.9994923
-3116.7039421	521.1284574	17.9257528	0.1650099	0.9857917	0.0314071	-0.0004126	0.0319126	-0.9994906
-3113.4513957	540.2779801	18.5389246	0.1710723	0.9847589	0.0313707	-0.0004137	0.0319119	-0.9994906
-3110.1135524	559.3256437	19.1435131	0.1771012	0.9836955	0.0312783	-0.0004230	0.0318567	-0.9994924
-3106.5938497	578.3733073	19.7523932	0.1831337	0.9825882	0.0313438	-0.0004051	0.0319584	-0.9994891
-3103.0301575	597.4209709	20.3607369	0.1891616	0.9814501	0.0312033	-0.0004245	0.0318587	-0.9994923
-3099.2915799	616.5025876	20.9658618	0.1952030	0.9802624	0.0313258	-0.0003923	0.0320183	-0.9994872
-3095.4660960	635.4483920	21.5715232	0.2012009	0.9790538	0.0311730	-0.0004148	0.0319090	-0.9994907
-3091.5016695	654.3772199	22.1761116	0.2071949	0.9778008	0.0312375	-0.0003933	0.0320136	-0.9994874
-3087.4084929	673.3230243	22.7823095	0.2131945	0.9765116	0.0311962	-0.0003930	0.0320160	-0.9994873
-3083.2241185	692.4216175	23.3874344	0.2192380	0.9751758	0.0310951	-0.0004038	0.0319611	-0.9994890
-3078.9056295	711.2655627	23.9893405	0.2252057	0.9738130	0.0311560	-0.0003800	0.0320653	-0.9994857
-3074.5013072	730.1095080	24.5955384	0.2311708	0.9724174	0.0310563	-0.0003932	0.0320143	-0.9994873
-3069.9575057	749.1062420	25.1974445	0.2371828	0.9709683	0.0310631	-0.0003786	0.0320679	-0.9994856
-3065.3225063	767.8143751	25.7998872	0.2431062	0.9695055	0.0309572	-0.0003936	0.0320133	-0.9994874
-3060.5158403	786.5564612	26.3975017	0.2490436	0.9679956	0.0310141	-0.0003665	0.0321173	-0.9994840
-3055.6608930	805.2985473	27.0004808	0.2549753	0.9664534	0.0309092	-0.0003809	0.0320661	-0.9994857
-3050.6718312	824.1934221	27.5991682	0.2609528	0.9648601	0.0307997	-0.0003938	0.0320116	-0.9994874
-3045.5540194	842.8166725	28.1983921	0.2668507	0.9632421	0.0309092	-0.0003516	0.0321695	-0.9994824
-3040.2967284	861.4568994	28.7976159	0.2727548	0.9615905	0.0307977	-0.0003673	0.0321156	-0.9994841
-3034.9536041	880.1141029	29.3925481	0.2786609	0.9598973	0.0307443	-0.0003656	0.0321184	-0.9994840
-3029.4763653	898.6185176	29.9880168	0.2845233	0.9581762	0.0307390	-0.0003516	0.0321685	-0.9994824
-3023.9454806	917.3096741	30.5834855	0.2904339	0.9564031	0.0306791	-0.0003506	0.0321674	-0.9994824
-3018.2429293	935.8480419	31.1837823	0.2963041	0.9546028	0.0306172	-0.0003528	0.0321662	-0.9994825
-3012.4438155	954.4203627	31.7760322	0.3021816	0.9527604	0.0305596	-0.0003507	0.0321694	-0.9994824
-3006.5588683	972.8568713	32.3682821	0.3080163	0.9508871	0.0306544	-0.0003026	0.0323189	-0.9994776
-3000.4968900	991.1575677	32.9567768	0.3138171	0.9489957	0.0304305	-0.0003526	0.0321660	-0.9994825
-2994.3866304	1009.6280294	33.5490268	0.3196591	0.9470443	0.0304167	-0.0003363	0.0322143	-0.9994809
-2988.0939750	1027.9626788	34.1380579	0.3254679	0.9450642	0.0304029	-0.0003195	0.0322634	-0.9994793
-2981.7208508	1046.3143048	34.7276256	0.3312770	0.9430475	0.0302822	-0.0003370	0.0322128	-0.9994810
-2975.2457996	1064.5470951	35.3171932	0.3370504	0.9409983	0.0303193	-0.0003029	0.0323120	-0.9994778
-2968.6849151	1082.9156976	35.9067608	0.3428575	0.9389018	0.0302018	-0.0003186	0.0322667	-0.9994792
-2961.9899160	1101.0296522	36.4888180	0.3485941	0.9367876	0.0301838	-0.0003003	0.0323155	-0.9994777
-2955.1554377	1119.0247711	37.0751669	0.3542993	0.9346489	0.0300568	-0.0003221	0.0322637	-0.9994793
-2948.2351261	1137.3254675	37.6577606	0.3600847	0.9324343	0.0300895	-0.0002822	0.0323619	-0.9994762
-2941.2128875	1155.3545394	38.2446459	0.3657923	0.9302106	0.0300693	-0.0002642	0.0324122	-0.9994746
