Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

-316.2540545	0.0203718	2.6329371	0.0003779	0.9992906	0.0376585	-0.0083168	0.0376604	-0.9992560
-316.2458789	1.9556959	2.6940934	0.0065140	0.9992060	0.0393049	-0.0082687	0.0393582	-0.9991910
-316.2302358	3.9012060	2.7745621	0.0126791	0.9991074	0.0402955	-0.0082680	0.0404021	-0.9991493
-316.1986920	5.8365301	2.8550309	0.0188035	0.9990135	0.0402312	-0.0082760	0.0403924	-0.9991496
-316.1578139	7.7718542	2.9194059	0.0249595	0.9987060	0.0443097	-0.0081300	0.0445248	-0.9989752
-316.1043827	9.7071783	3.0095308	0.0310784	0.9985733	0.0434217	-0.0081695	0.0436950	-0.9990115
-316.0380764	11.6425024	3.0867808	0.0372156	0.9982935	0.0450000	-0.0080868	0.0453306	-0.9989393
-315.9624358	13.5778265	3.1736871	0.0433466	0.9980143	0.0457006	-0.0080528	0.0460911	-0.9989048
-315.8729546	15.5335224	3.2605933	0.0495459	0.9976712	0.0468770	-0.0079831	0.0473287	-0.9988475
-315.7767140	17.4688466	3.3442808	0.0556853	0.9972548	0.0488064	-0.0078492	0.0493180	-0.9987523
-315.6560109	19.3736129	3.4344058	0.0617115	0.9969308	0.0481738	-0.0078748	0.0487506	-0.9987799
-315.5382046	21.3191229	3.5180933	0.0678834	0.9964254	0.0502819	-0.0076944	0.0509195	-0.9986731
-315.3994765	23.2646330	3.6275308	0.0740294	0.9960843	0.0483283	-0.0078696	0.0490433	-0.9987656
-315.2469078	25.2101430	3.7112183	0.0802035	0.9955020	0.0504292	-0.0076617	0.0512064	-0.9986587
-315.0901547	27.1556530	3.8077807	0.0863614	0.9949846	0.0504708	-0.0076455	0.0513205	-0.9986530
-314.9095828	29.1113490	3.9043432	0.0925564	0.9944123	0.0507694	-0.0076027	0.0516926	-0.9986341
-314.7251485	30.9855576	4.0009057	0.0984912	0.9938464	0.0506840	-0.0076068	0.0516821	-0.9986346
-314.5265516	32.9412535	4.1071245	0.1046793	0.9932438	0.0500903	-0.0076811	0.0511730	-0.9986603
-314.3269892	34.8867635	4.1940307	0.1108392	0.9925343	0.0508946	-0.0075475	0.0520493	-0.9986160
-314.1016767	36.8119017	4.3002494	0.1169348	0.9918510	0.0505758	-0.0075990	0.0518173	-0.9986277
-313.8731455	38.7268540	4.3871557	0.1230002	0.9910799	0.0512995	-0.0074659	0.0526147	-0.9985870
-313.6285205	40.6519922	4.4933744	0.1290936	0.9903249	0.0509063	-0.0075263	0.0523129	-0.9986024
-313.3742393	42.5771304	4.5899369	0.1351906	0.9894880	0.0513524	-0.0074466	0.0528414	-0.9985752
-313.1135206	44.4615249	4.6864994	0.1411564	0.9886497	0.0514455	-0.0074171	0.0530205	-0.9985659
-312.5786180	46.3645936	4.7787702	0.1472905	0.9878154	0.0502624	-0.0075629	0.0519399	-0.9986216
-312.2890915	48.2795459	4.8796243	0.1533543	0.9869146	0.0498196	-0.0076273	0.0515966	-0.9986389
-311.9862608	50.2097770	4.9729681	0.1594719	0.9859186	0.0503311	-0.0075175	0.0521949	-0.9986086
-311.6703942	52.1128457	5.0743587	0.1654999	0.9849499	0.0498336	-0.0075972	0.0518022	-0.9986285
-311.3451396	54.0277980	5.1666295	0.1715691	0.9838861	0.0503214	-0.0074820	0.0523786	-0.9985993
-311.0113552	55.9325644	5.2680201	0.1775989	0.9828414	0.0498148	-0.0075665	0.0519818	-0.9986194
-310.6593850	57.8373307	5.3651191	0.1836355	0.9817290	0.0498617	-0.0075408	0.0521297	-0.9986119
-310.3030157	59.7420971	5.4622180	0.1896664	0.9805881	0.0497359	-0.0075459	0.0521096	-0.9986129
-309.9291580	61.6502588	5.5550253	0.1957084	0.9794168	0.0494053	-0.0075774	0.0518883	-0.9986241
-309.5466096	63.5448392	5.6515878	0.2017100	0.9781992	0.0493902	-0.0075617	0.0519805	-0.9986195
-309.1501669	65.4377220	5.7492232	0.2077084	0.9769389	0.0494726	-0.0075281	0.0521706	-0.9986098
-308.7408493	67.3323024	5.8420305	0.2137071	0.9756707	0.0489484	-0.0076066	0.0517664	-0.9986303
-308.3224118	69.2421617	5.9396659	0.2197543	0.9743270	0.0489386	-0.0075890	0.0518707	-0.9986250
-307.8905629	71.1265563	6.0330096	0.2257219	0.9729823	0.0485289	-0.0076515	0.0515837	-0.9986394
-307.4501307	73.0109508	6.1258169	0.2316860	0.9716056	0.0480019	-0.0077429	0.0511848	-0.9986592
-306.9957506	74.9106242	6.2196971	0.2376982	0.9701705	0.0476322	-0.0078022	0.0509431	-0.9986711
-306.5322506	76.7814375	6.3130408	0.2436282	0.9686760	0.0480848	-0.0076670	0.0515007	-0.9986435
-306.0515840	78.6556461	6.4069210	0.2495658	0.9671814	0.0477191	-0.0077304	0.0512666	-0.9986551
-305.5660893	80.5298547	6.5002648	0.2554959	0.9656603	0.0471386	-0.0078496	0.0508271	-0.9986766
-305.0671831	82.4193422	6.5903897	0.2614762	0.9640561	0.0471812	-0.0077984	0.0509903	-0.9986687
-304.5554019	84.2816673	6.6837335	0.2673743	0.9624533	0.0468474	-0.0078602	0.0507943	-0.9986782
-304.0296728	86.1456899	6.7701033	0.2732766	0.9608169	0.0463764	-0.0079403	0.0504631	-0.9986944
-303.4953604	88.0114103	6.8639835	0.2791900	0.9590877	0.0469446	-0.0077561	0.0511394	-0.9986614
-302.9476365	89.8618518	6.9498168	0.2850509	0.9573829	0.0465181	-0.0078256	0.0508544	-0.9986754
-302.3945481	91.7309674	7.0442334	0.2909602	0.9556284	0.0460050	-0.0079461	0.0504974	-0.9986926
-301.8242929	93.5848042	7.1306032	0.2968277	0.9538493	0.0454397	-0.0080646	0.0500865	-0.9987123
-301.2443815	95.4420363	7.2207282	0.3027083	0.9519938	0.0455573	-0.0079916	0.0503335	-0.9987005
-300.6558868	97.2856871	7.3070980	0.3085416	0.9501378	0.0451694	-0.0080624	0.0500967	-0.9987118
-300.0496890	99.1157568	7.3977594	0.3143447	0.9482344	0.0451556	-0.0080333	0.0502221	-0.9987058
-299.4386630	100.9628029	7.4803740	0.3201874	0.9462795	0.0451121	-0.0079847	0.0503130	-0.9987016
-298.8093975	102.7962679	7.5715719	0.3259909	0.9443397	0.0441861	-0.0082508	0.0495795	-0.9987361
-298.1720851	104.6314305	7.6579417	0.3318049	0.9422944	0.0445743	-0.0080742	0.0500862	-0.9987123
-297.5245800	106.4547095	7.7448479	0.3375775	0.9402556	0.0442813	-0.0081248	0.0499516	-0.9987186
-296.8684915	108.2915698	7.8274625	0.3433859	0.9381482	0.0443183	-0.0080481	0.0501251	-0.9987105
-296.1989916	110.1029652	7.9143687	0.3491204	0.9360505	0.0438669	-0.0081568	0.0498462	-0.9987236
-295.5155438	111.9024771	8.0018114	0.3548316	0.9338753	0.0444008	-0.0079221	0.0504926	-0.9986930
-294.8235126	113.7325467	8.0844260	0.3606089	0.9317111	0.0433076	-0.0082469	0.0496148	-0.9987344
-294.1212887	115.5354539	8.1718687	0.3663232	0.9294500	0.0439324	-0.0079707	0.0503472	-0.9987000
-293.4110180	117.3383611	8.2507281	0.3720218	0.9272078	0.0434224	-0.0080827	0.0500142	-0.9987158
