Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	39

Number of cycles in input:	1

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

315.9999962	-0.0000000	-2.6768328	-0.0002779	-0.9994618	-0.0328028	-0.0084661	0.0328039	-0.9994259
315.9940476	-1.9389392	-2.7422244	-0.0064323	-0.9993811	-0.0345832	-0.0084600	0.0346370	-0.9993641
315.9762020	-3.8778055	-2.8109523	-0.0125858	-0.9992639	-0.0362381	-0.0084438	0.0363459	-0.9993036
315.9464601	-5.8165257	-2.8827772	-0.0187381	-0.9991107	-0.0377715	-0.0084190	0.0379345	-0.9992448
315.9048229	-7.7550270	-2.9574677	-0.0248890	-0.9989218	-0.0391878	-0.0083869	0.0394072	-0.9991880
315.8512921	-9.6932363	-3.0348009	-0.0310383	-0.9986977	-0.0404914	-0.0083488	0.0407685	-0.9991337
315.7858697	-11.6310806	-3.1145630	-0.0371858	-0.9984385	-0.0416871	-0.0083060	0.0420234	-0.9990821
315.7085582	-13.5684871	-3.1965495	-0.0433313	-0.9981444	-0.0427800	-0.0082596	0.0431767	-0.9990333
315.6193604	-15.5053826	-3.2805656	-0.0494745	-0.9978156	-0.0437752	-0.0082105	0.0442337	-0.9989875
315.5182797	-17.4416945	-3.3664269	-0.0556154	-0.9974522	-0.0446780	-0.0081596	0.0451998	-0.9989446
315.4053199	-19.3773496	-3.4539590	-0.0617536	-0.9970541	-0.0454937	-0.0081079	0.0460803	-0.9989048
315.2804853	-21.3122752	-3.5429979	-0.0678889	-0.9966213	-0.0462275	-0.0080559	0.0468805	-0.9988680
315.1437805	-23.2463984	-3.6333896	-0.0740213	-0.9961539	-0.0468847	-0.0080043	0.0476056	-0.9988341
314.9952108	-25.1796464	-3.7249902	-0.0801504	-0.9956518	-0.0474703	-0.0079536	0.0482609	-0.9988031
314.8347817	-27.1119464	-3.8176651	-0.0862761	-0.9951148	-0.0479891	-0.0079043	0.0488509	-0.9987748
314.6624992	-29.0432257	-3.9112888	-0.0923981	-0.9945429	-0.0484455	-0.0078568	0.0493804	-0.9987491
314.4783699	-30.9734115	-4.0057442	-0.0985163	-0.9939360	-0.0488438	-0.0078114	0.0498534	-0.9987260
314.2824006	-32.9024311	-4.1009218	-0.1046304	-0.9932940	-0.0491876	-0.0077684	0.0502738	-0.9987053
314.0745988	-34.8302120	-4.1967191	-0.1107403	-0.9926169	-0.0494804	-0.0077282	0.0506452	-0.9986868
313.8549722	-36.7566816	-4.2930401	-0.1168457	-0.9919045	-0.0497253	-0.0076909	0.0509705	-0.9986705
313.6235292	-38.6817673	-4.3897943	-0.1229463	-0.9911567	-0.0499251	-0.0076568	0.0512526	-0.9986564
313.3802784	-40.6053966	-4.4868962	-0.1290420	-0.9903736	-0.0500821	-0.0076261	0.0514940	-0.9986442
313.1252290	-42.5274972	-4.5842648	-0.1351326	-0.9895551	-0.0501986	-0.0075991	0.0516969	-0.9986339
312.8583907	-44.4479966	-4.6818234	-0.1412178	-0.9887011	-0.0502767	-0.0075758	0.0518634	-0.9986255
312.5797734	-46.3668226	-4.7794989	-0.1472974	-0.9878115	-0.0503182	-0.0075566	0.0519955	-0.9986187
312.2893877	-48.2839029	-4.8772221	-0.1533711	-0.9868864	-0.0503249	-0.0075414	0.0520950	-0.9986137
311.9872444	-50.1991654	-4.9749270	-0.1594388	-0.9859256	-0.0502989	-0.0075305	0.0521638	-0.9986101
311.6733550	-52.1125379	-5.0725518	-0.1655002	-0.9849291	-0.0502419	-0.0075239	0.0522039	-0.9986081
311.3477313	-54.0239483	-5.1700382	-0.1715551	-0.9838969	-0.0501561	-0.0075216	0.0522174	-0.9986074
311.0103855	-55.9333248	-5.2673321	-0.1776033	-0.9828289	-0.0500435	-0.0075236	0.0522065	-0.9986080
310.6613303	-57.8405955	-5.3643837	-0.1836446	-0.9817250	-0.0499065	-0.0075297	0.0521734	-0.9986097
310.3005789	-59.7456884	-5.4611479	-0.1896787	-0.9805851	-0.0497476	-0.0075397	0.0521206	-0.9986123
309.9281449	-61.6485320	-5.5575845	-0.1957054	-0.9794091	-0.0495694	-0.0075535	0.0520508	-0.9986159
309.5440422	-63.5490546	-5.6536585	-0.2017246	-0.9781970	-0.0493744	-0.0075706	0.0519665	-0.9986201
309.1482854	-65.4471846	-5.7493400	-0.2077359	-0.9769486	-0.0491655	-0.0075907	0.0518705	-0.9986250
308.7408894	-67.3428505	-5.8446044	-0.2137393	-0.9756638	-0.0489454	-0.0076134	0.0517654	-0.9986303
308.3218694	-69.2359810	-5.9394327	-0.2197344	-0.9743426	-0.0487167	-0.0076382	0.0516539	-0.9986358
307.8912413	-71.1265048	-6.0338105	-0.2257211	-0.9729848	-0.0484819	-0.0076646	0.0515384	-0.9986416
307.4490212	-73.0143507	-6.1277284	-0.2316991	-0.9715905	-0.0482434	-0.0076922	0.0514213	-0.9986474
306.9952259	-74.8994477	-6.2211815	-0.2376683	-0.9701595	-0.0480034	-0.0077204	0.0513046	-0.9986532
306.5298723	-76.7817247	-6.3141683	-0.2436285	-0.9686918	-0.0477636	-0.0077488	0.0511901	-0.9986589
306.0529781	-78.6611110	-6.4066910	-0.2495794	-0.9671874	-0.0475256	-0.0077771	0.0510791	-0.9986643
305.5645612	-80.5375357	-6.4987542	-0.2555208	-0.9656463	-0.0472904	-0.0078048	0.0509729	-0.9986695
305.0646399	-82.4109283	-6.5903644	-0.2614525	-0.9640685	-0.0470591	-0.0078318	0.0508723	-0.9986745
304.5532331	-84.2812181	-6.6815295	-0.2673743	-0.9624540	-0.0468320	-0.0078578	0.0507776	-0.9986791
304.0303601	-86.1483347	-6.7722582	-0.2732860	-0.9608030	-0.0466095	-0.0078826	0.0506892	-0.9986834
303.4960405	-88.0122080	-6.8625592	-0.2791873	-0.9591154	-0.0463914	-0.0079063	0.0506069	-0.9986874
302.9502944	-89.8727676	-6.9524413	-0.2850780	-0.9573913	-0.0461777	-0.0079288	0.0505306	-0.9986910
302.3931425	-91.7299435	-7.0419124	-0.2909579	-0.9556309	-0.0459679	-0.0079500	0.0504599	-0.9986944
301.8246056	-93.5836659	-7.1309801	-0.2968268	-0.9538342	-0.0457618	-0.0079702	0.0503945	-0.9986976
301.2447051	-95.4338649	-7.2196511	-0.3026844	-0.9520013	-0.0455590	-0.0079892	0.0503339	-0.9987005
300.6534630	-97.2804709	-7.3079314	-0.3085306	-0.9501323	-0.0453592	-0.0080072	0.0502780	-0.9987032
300.0509015	-99.1234143	-7.3958269	-0.3143651	-0.9482273	-0.0451623	-0.0080240	0.0502267	-0.9987056
299.4370432	-100.9626258	-7.4833433	-0.3201877	-0.9462863	-0.0449684	-0.0080397	0.0501799	-0.9987078
298.8119112	-102.7980361	-7.5704867	-0.3259982	-0.9443093	-0.0447778	-0.0080540	0.0501379	-0.9987098
298.1755292	-104.6295761	-7.6572641	-0.3317963	-0.9422966	-0.0445912	-0.0080668	0.0501013	-0.9987116
297.5279210	-106.4571769	-7.7436839	-0.3375819	-0.9402480	-0.0444092	-0.0080776	0.0500708	-0.9987130
296.8691111	-108.2807696	-7.8297562	-0.3433547	-0.9381636	-0.0442330	-0.0080861	0.0500473	-0.9987141
296.1991242	-110.1002856	-7.9154935	-0.3491146	-0.9360435	-0.0440639	-0.0080918	0.0500321	-0.9987148
