Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	-1000.0000000	-46.8176000	-0.0004417	0.0316000	0.0316031	-71.5396020	1.5847737	-36.8175942	-83351.7250223	0.0000012	0.0187536	0.0187536	-0.0015070
0.0019417	-6.1358800	-999.9810127	-46.8143000	-0.0004450	0.0315610	0.0315642	-70.9205449	1.5848957	-36.8295542	-82765.5541814	0.0000174	0.0028208	0.0028209	-0.0006810
0.0038835	-12.2715000	-999.9240506	-46.8098000	-0.0004432	0.0316472	0.0316503	-71.4060819	1.5847998	-36.8010628	-83047.0977505	0.0000002	0.0000171	0.0000171	-0.0059968
0.0058252	-18.4067000	-999.8291139	-46.8040000	-0.0004350	0.0318569	0.0318599	-73.2322146	1.5844507	-36.7324225	-84458.3243082	-0.0005183	-0.0280768	0.0280816	0.0036599
0.0077670	-24.5412000	-999.6993671	-46.7972000	-0.0004487	0.0315280	0.0315312	-70.2636737	1.5850275	-36.8340074	-82113.3378344	0.0003310	0.0134650	0.0134691	-0.0077382
0.0097087	-30.6748000	-999.5284810	-46.7891000	-0.0004504	0.0314896	0.0314929	-69.9142954	1.5850986	-36.8425414	-81829.6722300	0.0008617	0.0280591	0.0280724	-0.0128398
0.0116505	-36.8072000	-999.3227848	-46.7798000	-0.0004511	0.0314924	0.0314956	-69.8164630	1.5851186	-36.8372173	-81702.4807341	0.0007381	0.0200366	0.0200502	-0.0073646
0.0135922	-42.9383000	-999.0791139	-46.7693000	-0.0004423	0.0316192	0.0316223	-71.4860090	1.5847842	-36.7914205	-83222.4348654	0.0010834	0.0252112	0.0252344	0.0028082
0.0155340	-49.0677000	-998.7943038	-46.7577000	-0.0004330	0.0318295	0.0318325	-73.5096623	1.5843991	-36.7184588	-84849.6475450	-0.0012518	-0.0254545	0.0254853	0.0052358
0.0174757	-55.1952000	-998.4746835	-46.7448000	-0.0004440	0.0316252	0.0316283	-71.2201657	1.5848364	-36.7766144	-82876.5007759	0.0011771	0.0212787	0.0213113	-0.0121586
0.0194175	-61.3207000	-998.1170886	-46.7308000	-0.0004435	0.0316683	0.0316714	-71.4128630	1.5847985	-36.7552348	-82945.2416551	0.0001715	0.0027951	0.0028003	0.0072992
0.0213592	-67.4439000	-997.7215190	-46.7156000	-0.0004544	0.0315483	0.0315516	-69.4334401	1.5851976	-36.7853451	-81026.8337947	0.0013452	0.0199098	0.0199552	-0.0033701
0.0233010	-73.5646000	-997.2911392	-46.6991000	-0.0004385	0.0317155	0.0317185	-72.3310035	1.5846208	-36.7220085	-83822.6388462	0.0007909	0.0107219	0.0107510	-0.0052746
0.0252427	-79.6824000	-996.8196203	-46.6815000	-0.0004268	0.0318419	0.0318447	-74.5980079	1.5842007	-36.6710197	-85991.2644160	-0.0011624	-0.0145356	0.0145820	0.0171997
0.0271845	-85.7973000	-996.3132911	-46.6627000	-0.0004324	0.0317622	0.0317652	-73.4504744	1.5844101	-36.6855263	-84921.5046008	0.0009238	0.0107187	0.0107585	-0.0072261
0.0291262	-91.9090000	-995.7689873	-46.6428000	-0.0004171	0.0319314	0.0319341	-76.5641746	1.5838565	-36.6190170	-87895.9631686	-0.0019925	-0.0215541	0.0216460	-0.0083383
0.0310680	-98.0171000	-995.1835443	-46.6216000	-0.0004589	0.0315619	0.0315653	-68.7837402	1.5853336	-36.7267298	-80137.5404201	0.0033947	0.0344808	0.0346475	-0.0214645
0.0330097	-104.1220000	-994.5632911	-46.5992000	-0.0004195	0.0318937	0.0318964	-76.0238702	1.5839493	-36.6048170	-87357.7670320	-0.0015215	-0.0145277	0.0146072	0.0095403
0.0349515	-110.2220000	-993.9082278	-46.5757000	-0.0004389	0.0317324	0.0317355	-72.2931502	1.5846280	-36.6433494	-83591.5105207	0.0019185	0.0172860	0.0173921	-0.0120670
0.0368932	-116.3190000	-993.2120253	-46.5509000	-0.0004275	0.0318174	0.0318203	-74.4337439	1.5842303	-36.6001700	-85738.8845832	0.0017180	0.0146593	0.0147596	-0.0237716
0.0388350	-122.4110000	-992.4810127	-46.5250000	-0.0004231	0.0318612	0.0318640	-75.3050687	1.5840749	-36.5699529	-86556.8552884	-0.0009794	-0.0079380	0.0079982	0.0031745
0.0407767	-128.4980000	-991.7088608	-46.4979000	-0.0004459	0.0316994	0.0317025	-71.0954418	1.5848610	-36.6069141	-82230.5501391	0.0031066	0.0239675	0.0241680	-0.0430468
0.0427185	-134.5810000	-990.9018987	-46.4696000	-0.0004153	0.0319078	0.0319105	-76.8392926	1.5838098	-36.5199521	-88080.7444060	-0.0000016	-0.0000115	0.0000116	-0.0100473
0.0446602	-140.6580000	-990.0569620	-46.4401000	-0.0004487	0.0317053	0.0317085	-70.6662565	1.5849464	-36.5696373	-81648.6977289	0.0028163	0.0198336	0.0200325	-0.0114066
0.0466019	-146.7300000	-989.1772152	-46.4094000	-0.0004386	0.0317695	0.0317726	-72.4373562	1.5846005	-36.5289107	-83435.8822571	0.0010929	0.0073680	0.0074486	-0.0112785
0.0485437	-152.7970000	-988.2563291	-46.3776000	-0.0004149	0.0319265	0.0319292	-76.9542866	1.5837903	-36.4563075	-88025.4366418	0.0006795	0.0043954	0.0044476	-0.0087990
0.0504854	-158.8580000	-987.3006329	-46.3445000	-0.0004222	0.0318750	0.0318778	-75.4890139	1.5840425	-36.4526610	-86489.1566529	0.0014586	0.0090634	0.0091800	-0.0073502
0.0524272	-164.9130000	-986.3069620	-46.3103000	-0.0004128	0.0319289	0.0319316	-77.3403969	1.5837255	-36.4126516	-88366.1304305	0.0020072	0.0120044	0.0121711	-0.0180876
0.0543689	-170.9620000	-985.2784810	-46.2749000	-0.0004140	0.0319282	0.0319308	-77.1285973	1.5837610	-36.3905683	-88079.3711580	0.0007060	0.0040686	0.0041294	-0.0070036
0.0563107	-177.0040000	-984.2088608	-46.2383000	-0.0004232	0.0318729	0.0318757	-75.3151985	1.5840731	-36.3861198	-86156.8615445	0.0011475	0.0063804	0.0064827	-0.0134472
0.0582524	-183.0400000	-983.1044304	-46.2006000	-0.0004053	0.0319747	0.0319773	-78.8938536	1.5834709	-36.3271589	-89816.0059360	0.0008153	0.0043793	0.0044545	-0.0117379
0.0601942	-189.0690000	-981.9651899	-46.1616000	-0.0004247	0.0318749	0.0318777	-75.0449203	1.5841209	-36.3368250	-85738.9202052	0.0009059	0.0047051	0.0047915	-0.0153165
0.0621359	-195.0900000	-980.7848101	-46.1215000	-0.0003925	0.0320347	0.0320371	-81.6244223	1.5830469	-36.2552866	-92573.4622043	0.0017928	0.0090127	0.0091893	-0.0169671
0.0640777	-201.1050000	-979.5696203	-46.0802000	-0.0004150	0.0319252	0.0319279	-76.9243029	1.5837954	-36.2671474	-87587.3104215	0.0013770	0.0067077	0.0068476	-0.0138535
0.0660194	-207.1110000	-978.3164557	-46.0377000	-0.0003935	0.0320301	0.0320325	-81.4068823	1.5830797	-36.2028812	-92219.5468686	0.0014104	0.0066631	0.0068107	-0.0220280
0.0679612	-213.1100000	-977.0284810	-45.9941000	-0.0003932	0.0320325	0.0320349	-81.4563735	1.5830722	-36.1739080	-92200.8928061	0.0003075	0.0014099	0.0014430	-0.0135193
0.0699029	-219.1010000	-975.7025316	-45.9492000	-0.0004040	0.0319775	0.0319800	-79.1577769	1.5834287	-36.1641314	-89740.6036353	0.0020163	0.0089780	0.0092017	-0.0183634
0.0718447	-225.0840000	-974.3386076	-45.9033000	-0.0003802	0.0320818	0.0320840	-84.3745738	1.5826477	-36.0969556	-95159.5786950	0.0020696	0.0089589	0.0091948	-0.0201163
0.0737864	-231.0580000	-972.9398734	-45.8561000	-0.0003934	0.0320307	0.0320331	-81.4143708	1.5830786	-36.0849870	-91950.3638826	0.0011242	0.0047340	0.0048657	-0.0125311
0.0757282	-237.0240000	-971.5031646	-45.8077000	-0.0003788	0.0320845	0.0320867	-84.7087978	1.5826009	-36.0335056	-95372.0472286	0.0027605	0.0113132	0.0116451	-0.0143105
0.0776699	-242.9800000	-970.0316456	-45.7582000	-0.0003938	0.0320297	0.0320321	-81.3417593	1.5830895	-36.0216551	-91722.5994245	0.0009398	0.0037518	0.0038677	-0.0111265
0.0796117	-248.9280000	-968.5221519	-45.7076000	-0.0003667	0.0321339	0.0321360	-87.6206643	1.5822087	-35.9500456	-98275.3442825	0.0022899	0.0089103	0.0091998	-0.0265703
0.0815534	-254.8660000	-966.9778481	-45.6557000	-0.0003811	0.0320826	0.0320849	-84.1944285	1.5826730	-35.9353469	-94559.9306684	0.0011526	0.0043736	0.0045229	-0.0173665
0.0834952	-260.7940000	-965.3955696	-45.6027000	-0.0003940	0.0320280	0.0320304	-81.2942527	1.5830967	-35.9207316	-91435.6429058	0.0029395	0.0108804	0.0112704	-0.0211990
0.0854369	-266.7130000	-963.7753165	-45.5485000	-0.0003518	0.0321861	0.0321881	-91.4939694	1.5817256	-35.8258046	-102106.9843554	0.0017596	0.0063583	0.0065973	-0.0168183
0.0873787	-272.6210000	-962.1202532	-45.4932000	-0.0003675	0.0321321	0.0321342	-87.4460424	1.5822315	-35.8101518	-97728.1853282	0.0010627	0.0037506	0.0038983	-0.0132935
0.0893204	-278.5200000	-960.4303797	-45.4367000	-0.0003658	0.0321349	0.0321370	-87.8528353	1.5821785	-35.7716859	-98073.7409151	0.0023966	0.0082645	0.0086050	-0.0228683
0.0912621	-284.4080000	-958.7025316	-45.3790000	-0.0003518	0.0321852	0.0321871	-91.4818157	1.5817270	-35.7145038	-101797.8736805	0.0009944	0.0033524	0.0034968	-0.0260107
0.0932039	-290.2850000	-956.9398734	-45.3202000	-0.0003508	0.0321841	0.0321860	-91.7528173	1.5816947	-35.6757448	-101997.3718911	0.0031859	0.0105024	0.0109750	-0.0302410
0.0951456	-296.1510000	-955.1424051	-45.2603000	-0.0003530	0.0321828	0.0321848	-91.1620010	1.5817654	-35.6372544	-101243.1992581	0.0011659	0.0037601	0.0039367	-0.0134323
0.0970874	-302.0060000	-953.3069620	-45.1991000	-0.0003509	0.0321860	0.0321880	-91.7287139	1.5816976	-35.5952014	-101746.6546359	0.0026227	0.0082779	0.0086835	-0.0165534
0.0990291	-307.8500000	-951.4335443	-45.1369000	-0.0003027	0.0323358	0.0323372	-106.8094710	1.5801585	-35.4942355	-117550.1905833	0.0026836	0.0082936	0.0087170	-0.0196693
