Data calculated via numerical differentiation

Frequency:	3.1600000

Step size for numerical diff.:	8

Standard differentiation

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	-100.0000000	-18.2216000	-0.0083230	0.0376884	0.0385965	-4.5282478	1.7881439	-17.0289285	-2046.0186820	0.0000479	0.7428890	0.7428890	-1.2945046
0.0019417	-0.6135880	-99.9981013	-18.2163000	-0.0082754	0.0393901	0.0402500	-4.7599042	1.7778731	-16.9748802	-2051.8616294	0.0048699	0.7874848	0.7874999	-1.3072134
0.0038835	-1.2271500	-99.9924051	-18.2109000	-0.0082750	0.0404365	0.0412745	-4.8865777	1.7726515	-16.9415152	-2048.5356753	0.0080703	0.6541781	0.6542278	-1.1167238
0.0058252	-1.8406700	-99.9829114	-18.2054000	-0.0082830	0.0404268	0.0412666	-4.8806892	1.7728885	-16.9415351	-2047.1750234	0.0156956	0.8503232	0.8504680	-1.4615275
0.0077670	-2.4541200	-99.9699367	-18.1997000	-0.0081384	0.0445705	0.0453074	-5.4765823	1.7514023	-16.8096385	-2067.9327923	0.0083779	0.3408132	0.3409162	-0.4970931
0.0097087	-3.0674800	-99.9528481	-18.1939000	-0.0081775	0.0437382	0.0444961	-5.3485785	1.7556279	-16.8355164	-2061.8182244	0.0184980	0.6023681	0.6026520	-0.9157045
0.0116505	-3.6807200	-99.9322785	-18.1879000	-0.0080954	0.0453788	0.0460952	-5.6054910	1.7473357	-16.7826327	-2076.7848749	0.0176172	0.4782211	0.4785455	-0.6808004
0.0135922	-4.2938300	-99.9079114	-18.1818000	-0.0080617	0.0461417	0.0468406	-5.7235874	1.7437660	-16.7575812	-2082.9684508	0.0191541	0.4457261	0.4461374	-0.5801387
0.0155340	-4.9067700	-99.8794304	-18.1755000	-0.0079923	0.0473833	0.0480526	-5.9285928	1.7378975	-16.7170524	-2096.5415342	0.0173942	0.3537106	0.3541380	-0.5380274
0.0174757	-5.5195200	-99.8474684	-18.1691000	-0.0078590	0.0493796	0.0500011	-6.2832201	1.7286267	-16.6522164	-2124.4024726	0.0079784	0.1442219	0.1444424	-0.1871991
0.0194175	-6.1320700	-99.8117089	-18.1624000	-0.0078845	0.0488101	0.0494428	-6.1906737	1.7309463	-16.6690323	-2120.2947574	0.0163268	0.2660143	0.2665149	-0.3446178
0.0213592	-6.7443900	-99.7721519	-18.1556000	-0.0077046	0.0509872	0.0515660	-6.6177697	1.7207700	-16.5977208	-2161.0093881	0.0049483	0.0732383	0.0734052	-0.0636324
0.0233010	-7.3564600	-99.7291139	-18.1487000	-0.0078794	0.0491039	0.0497321	-6.2319687	1.7299029	-16.6569519	-2121.3545608	0.0218112	0.2956958	0.2964991	-0.4232958
0.0252427	-7.9682400	-99.6819620	-18.1415000	-0.0076720	0.0512751	0.0518459	-6.6834394	1.7193181	-16.5851616	-2169.7549956	0.0076812	0.0960520	0.0963586	-0.1245679
0.0271845	-8.5797300	-99.6313291	-18.1342000	-0.0076558	0.0513897	0.0519568	-6.7125375	1.7186836	-16.5796239	-2174.2153230	0.0117626	0.1364830	0.1369889	-0.1852409
0.0291262	-9.1909000	-99.5768987	-18.1267000	-0.0076131	0.0517633	0.0523201	-6.7992172	1.7168252	-16.5655242	-2185.1084986	0.0116178	0.1256747	0.1262106	-0.2484944
0.0310680	-9.8017100	-99.5183544	-18.1190000	-0.0076172	0.0517527	0.0523103	-6.7942093	1.7169313	-16.5638050	-2184.3336759	0.0051332	0.0521382	0.0523903	-0.0386044
0.0330097	-10.4122000	-99.4563291	-18.1112000	-0.0076914	0.0512417	0.0518157	-6.6621774	1.7197851	-16.5785286	-2165.8665352	0.0130278	0.1243910	0.1250714	-0.2057254
0.0349515	-11.0222000	-99.3908228	-18.1031000	-0.0075580	0.0521215	0.0526666	-6.8962039	1.7147999	-16.5470401	-2200.3651140	0.0132428	0.1193164	0.1200490	-0.1641617
0.0368932	-11.6319000	-99.3212025	-18.0949000	-0.0076094	0.0518885	0.0524435	-6.8189665	1.7164082	-16.5525179	-2186.8946049	0.0074245	0.0633500	0.0637836	-0.1092290
0.0388350	-12.2411000	-99.2481013	-18.0864000	-0.0074765	0.0526891	0.0532170	-7.0473065	1.7117535	-16.5230795	-2222.2447237	0.0041325	0.0334929	0.0337468	-0.0678448
0.0407767	-12.8498000	-99.1708861	-18.0778000	-0.0075369	0.0523861	0.0529255	-6.9506632	1.7136870	-16.5306025	-2206.1518889	0.0046017	0.0355023	0.0357993	-0.0720086
0.0427185	-13.4581000	-99.0901899	-18.0690000	-0.0074572	0.0529168	0.0534397	-7.0960862	1.7107972	-16.5100117	-2227.4315708	-0.0152210	-0.1120288	0.1130581	0.1624334
0.0446602	-14.0658000	-99.0056962	-18.0600000	-0.0074278	0.0530967	0.0536137	-7.1483894	1.7097860	-16.5009097	-2235.5776514	-0.0203896	-0.1435908	0.1450312	0.2690188
0.0466019	-14.6730000	-98.9177215	-18.0508000	-0.0075734	0.0520116	0.0525601	-6.8676948	1.7153894	-16.5338011	-2197.8226714	0.0070853	0.0477671	0.0482898	-0.0825239
0.0485437	-15.2797000	-98.8256329	-18.0414000	-0.0076377	0.0516670	0.0522284	-6.7647380	1.7175588	-16.5422724	-2181.1538466	0.0031382	0.0202989	0.0205401	-0.0395876
0.0504854	-15.8858000	-98.7300633	-18.0319000	-0.0075280	0.0522676	0.0528069	-6.9431178	1.7138402	-16.5184553	-2210.1627735	0.0059748	0.0371255	0.0376032	-0.0531292
0.0524272	-16.4913000	-98.6306962	-18.0221000	-0.0076077	0.0518734	0.0524283	-6.8185526	1.7164169	-16.5284759	-2189.0947165	-0.0038224	-0.0228605	0.0231778	0.0483164
0.0543689	-17.0962000	-98.5278481	-18.0122000	-0.0074925	0.0524521	0.0529845	-7.0006009	1.7126814	-16.5048528	-2219.9418683	0.0054545	0.0314327	0.0319025	-0.0583133
0.0563107	-17.7004000	-98.4208861	-18.0020000	-0.0075770	0.0520537	0.0526022	-6.8699786	1.7153420	-16.5148600	-2197.3114921	-0.0044376	-0.0246750	0.0250708	0.0460389
0.0582524	-18.3040000	-98.3104430	-17.9917000	-0.0075513	0.0522022	0.0527455	-6.9129985	1.7144549	-16.5058624	-2204.1324441	-0.0078142	-0.0419721	0.0426933	0.0770629
0.0601942	-18.9069000	-98.1965190	-17.9812000	-0.0075563	0.0521820	0.0527263	-6.9057264	1.7146041	-16.5025188	-2202.8371191	-0.0107180	-0.0556696	0.0566919	0.1023272
0.0621359	-19.5090000	-98.0784810	-17.9705000	-0.0075878	0.0519598	0.0525109	-6.8477868	1.7158039	-16.5058283	-2194.8127046	-0.0045136	-0.0226908	0.0231354	0.0497352
0.0640777	-20.1105000	-97.9569620	-17.9596000	-0.0075721	0.0520524	0.0526003	-6.8742103	1.7152543	-16.4983050	-2198.9306990	-0.0025897	-0.0126150	0.0128781	0.0278263
0.0660194	-20.7111000	-97.8316456	-17.9486000	-0.0075386	0.0522432	0.0527843	-6.9301255	1.7141047	-16.4873152	-2207.7744955	-0.0120415	-0.0568883	0.0581488	0.1091595
0.0679612	-21.3110000	-97.7028481	-17.9373000	-0.0076171	0.0518374	0.0523940	-6.8054255	1.7166938	-16.4968867	-2187.0902322	-0.0062257	-0.0285468	0.0292178	0.0462812
0.0699029	-21.9101000	-97.5702532	-17.9259000	-0.0075994	0.0519422	0.0524951	-6.8349989	1.7160714	-16.4886037	-2191.6229237	-0.0143566	-0.0639273	0.0655195	0.1455769
0.0718447	-22.5084000	-97.4338608	-17.9142000	-0.0076619	0.0516540	0.0522191	-6.7416314	1.7180546	-16.4939849	-2175.2245038	-0.0132787	-0.0574804	0.0589943	0.1326008
0.0737864	-23.1058000	-97.2939873	-17.9024000	-0.0077533	0.0512535	0.0518366	-6.6105600	1.7209311	-16.5034886	-2151.6867995	-0.0075411	-0.0317558	0.0326389	0.0735438
0.0757282	-23.7024000	-97.1503165	-17.8904000	-0.0078126	0.0510108	0.0516057	-6.5292823	1.7227716	-16.5073123	-2136.6042380	-0.0107759	-0.0441616	0.0454573	0.1281226
0.0776699	-24.2980000	-97.0031646	-17.8783000	-0.0076774	0.0515707	0.0521390	-6.7172032	1.7185824	-16.4817703	-2171.0882632	-0.0124387	-0.0496588	0.0511930	0.1170334
0.0796117	-24.8928000	-96.8522152	-17.8659000	-0.0077408	0.0513357	0.0519160	-6.6318421	1.7204565	-16.4851803	-2154.5445020	-0.0186546	-0.0725858	0.0749446	0.1736253
0.0815534	-25.4866000	-96.6977848	-17.8534000	-0.0078600	0.0508945	0.0514979	-6.4751559	1.7240222	-16.4963235	-2124.2650411	-0.0174365	-0.0661618	0.0684209	0.1597627
0.0834952	-26.0794000	-96.5395570	-17.8407000	-0.0078088	0.0510583	0.0516520	-6.5385830	1.7225587	-16.4844922	-2137.1024360	-0.0170613	-0.0631507	0.0654149	0.1751136
0.0854369	-26.6713000	-96.3775316	-17.8278000	-0.0078706	0.0508615	0.0514669	-6.4622045	1.7243245	-16.4864826	-2121.3589067	-0.0158076	-0.0571213	0.0592682	0.1520927
0.0873787	-27.2621000	-96.2120253	-17.8147000	-0.0079507	0.0505291	0.0511507	-6.3553116	1.7268654	-16.4930020	-2101.6758528	-0.0128991	-0.0455241	0.0473163	0.1189446
0.0893204	-27.8520000	-96.0430380	-17.8015000	-0.0077665	0.0512079	0.0517935	-6.5934212	1.7213155	-16.4614319	-2147.3903643	-0.0168985	-0.0582723	0.0606731	0.1579542
0.0912621	-28.4408000	-95.8702532	-17.7881000	-0.0078360	0.0509219	0.0515213	-6.4984941	1.7234805	-16.4660578	-2129.7886993	-0.0083649	-0.0282003	0.0294147	0.0543384
0.0932039	-29.0285000	-95.6939873	-17.7745000	-0.0079565	0.0505635	0.0511857	-6.3550310	1.7268722	-16.4742528	-2099.5790906	-0.0169873	-0.0559992	0.0585190	0.1612681
0.0951456	-29.6151000	-95.5142405	-17.7607000	-0.0080750	0.0501511	0.0507970	-6.2106719	1.7304393	-16.4839741	-2070.9786644	-0.0127192	-0.0410213	0.0429479	0.1165946
0.0970874	-30.2006000	-95.3306962	-17.7468000	-0.0080019	0.0503990	0.0510303	-6.2983432	1.7282539	-16.4680288	-2088.2025740	-0.0109480	-0.0345554	0.0362482	0.1146950
0.0990291	-30.7850000	-95.1433544	-17.7327000	-0.0080728	0.0501613	0.0508067	-6.2136532	1.7303640	-16.4709304	-2071.0958995	-0.0040824	-0.0126164	0.0132604	0.0486489
